ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
63000001,9.4,6.75,6.6,8.25,8.25,5.5,-1.0,-1.0,-1.0
63000002,7.8,5.0,6.4,7.75,7.0,5.75,-1.0,-1.0,-1.0
63000003,6.8,4.5,5.2,-1.0,-1.0,-1.0,6.0,7.0,6.75
63000004,7.4,6.0,7.0,-1.0,-1.0,-1.0,6.0,6.25,8.0
63000005,8.6,5.0,6.6,6.0,5.5,6.0,-1.0,-1.0,-1.0
63000006,7.0,4.25,5.6,-1.0,-1.0,-1.0,6.5,6.75,6.75
63000007,7.0,4.75,2.8,6.0,4.25,3.75,-1.0,-1.0,-1.0
63000008,7.8,4.0,8.6,8.5,7.0,5.5,-1.0,-1.0,-1.0
63000009,8.6,7.75,9.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
63000010,8.4,7.0,9.0,8.75,7.5,6.25,-1.0,-1.0,-1.0
63000011,7.8,6.0,7.8,7.25,4.0,4.25,-1.0,-1.0,-1.0
63000012,4.8,4.0,3.0,-1.0,-1.0,-1.0,6.25,6.0,7.5
63000013,7.8,5.25,5.6,7.0,7.0,5.25,-1.0,-1.0,-1.0
63000014,8.0,-1.0,-1.0,-1.0,9.0,7.75,-1.0,-1.0,-1.0
63000015,6.6,6.5,6.4,6.0,5.75,5.25,-1.0,-1.0,-1.0
63000016,6.4,7.5,4.0,-1.0,-1.0,-1.0,6.5,5.25,7.75
63000017,-1.0,4.5,-1.0,-1.0,-1.0,-1.0,8.5,7.25,-1.0
63000018,7.0,3.75,3.8,5.5,5.5,3.75,-1.0,-1.0,-1.0
63000019,7.2,5.0,3.8,6.25,7.25,5.5,-1.0,-1.0,-1.0
63000020,7.0,5.25,4.2,-1.0,-1.0,-1.0,5.25,5.25,6.75
63000021,5.8,6.0,7.4,-1.0,-1.0,-1.0,5.25,8.0,7.5
63000022,7.6,5.25,4.0,-1.0,-1.0,-1.0,6.0,6.75,8.25
63000023,7.2,6.25,6.4,4.5,6.0,3.75,-1.0,-1.0,-1.0
63000024,8.6,6.75,6.8,6.75,8.0,8.25,-1.0,-1.0,-1.0
63000025,8.8,5.5,4.2,5.75,8.5,8.25,-1.0,-1.0,-1.0
63000026,-1.0,5.5,-1.0,-1.0,-1.0,-1.0,7.5,7.25,-1.0
63000027,6.8,4.75,5.4,-1.0,-1.0,-1.0,5.75,7.5,7.25
63000028,8.4,5.5,9.2,8.25,6.75,6.75,-1.0,-1.0,-1.0
63000029,5.4,3.5,3.6,-1.0,-1.0,-1.0,4.75,6.75,6.5
63000030,6.8,4.0,3.2,5.75,7.25,4.5,-1.0,-1.0,-1.0
63000031,6.4,5.0,4.4,4.75,-1.0,-1.0,-1.0,-1.0,-1.0
63000032,6.0,7.0,8.2,-1.0,-1.0,-1.0,7.0,7.75,8.75
63000033,5.4,5.5,2.8,-1.0,-1.0,-1.0,5.75,6.75,6.5
63000034,8.0,4.75,6.2,7.75,7.5,5.75,-1.0,-1.0,-1.0
63000035,6.8,5.0,5.6,-1.0,-1.0,-1.0,5.5,5.25,8.0
63000036,6.6,6.0,5.0,5.0,4.75,3.75,-1.0,-1.0,-1.0
63000037,8.2,7.75,8.0,7.75,5.75,4.25,-1.0,-1.0,-1.0
63000038,4.6,7.75,5.2,-1.0,-1.0,-1.0,9.0,9.25,8.25
63000039,4.0,5.5,6.2,-1.0,-1.0,-1.0,6.25,6.25,7.25
63000040,3.6,2.75,3.6,-1.0,-1.0,-1.0,4.25,4.75,6.75
63000041,8.4,6.75,7.2,8.25,7.5,5.5,-1.0,-1.0,-1.0
63000042,5.8,4.25,4.0,-1.0,-1.0,-1.0,5.25,6.25,7.25
63000043,6.0,5.25,3.4,-1.0,-1.0,-1.0,4.25,5.0,6.0
63000044,5.6,4.25,3.2,-1.0,-1.0,-1.0,5.5,6.5,7.5
63000045,4.8,3.5,4.2,-1.0,-1.0,-1.0,4.25,7.25,7.5
63000046,7.8,7.75,9.0,-1.0,-1.0,-1.0,6.5,7.75,7.25
63000047,5.2,7.5,2.2,-1.0,-1.0,-1.0,9.25,8.75,7.25
63000048,8.2,3.5,4.2,8.5,8.0,5.25,-1.0,-1.0,-1.0
63000049,5.8,4.25,3.4,-1.0,-1.0,-1.0,5.75,7.0,7.0
63000050,7.0,8.5,8.6,-1.0,-1.0,-1.0,6.25,7.0,9.25
63000051,7.8,5.25,6.8,-1.0,-1.0,-1.0,6.25,6.25,7.75
63000052,7.8,6.5,7.2,-1.0,-1.0,-1.0,7.25,7.5,9.5
63000053,5.8,4.25,3.0,-1.0,-1.0,-1.0,6.0,6.75,8.25
63000054,5.4,4.5,3.8,-1.0,-1.0,-1.0,5.0,6.25,7.5
63000055,7.4,5.0,5.0,7.25,6.75,5.75,-1.0,-1.0,-1.0
63000056,7.2,6.25,5.4,-1.0,-1.0,-1.0,3.25,4.75,6.25
63000057,7.2,6.0,9.2,-1.0,-1.0,-1.0,6.75,7.25,8.5
63000058,3.8,5.5,3.2,-1.0,-1.0,-1.0,5.25,5.75,6.5
63000059,6.2,7.0,6.8,-1.0,-1.0,-1.0,6.75,7.5,7.75
63000060,7.0,5.5,7.6,6.0,7.0,5.0,-1.0,-1.0,-1.0
63000061,7.6,8.25,8.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
63000062,8.2,4.75,7.2,5.0,6.75,4.0,-1.0,-1.0,-1.0
63000063,7.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
63000064,7.8,5.75,3.4,8.0,7.5,5.75,-1.0,-1.0,-1.0
63000065,4.0,5.75,3.4,-1.0,-1.0,-1.0,5.25,7.0,6.0
63000066,8.2,5.5,7.0,8.25,8.75,4.5,-1.0,-1.0,-1.0
63000067,8.8,6.0,8.4,8.75,9.0,6.5,-1.0,-1.0,-1.0
63000068,4.8,5.0,4.0,-1.0,-1.0,-1.0,7.5,6.5,6.0
63000069,7.8,-1.0,-1.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0
63000070,6.2,6.5,4.0,-1.0,-1.0,-1.0,9.25,8.0,7.5
63000071,4.8,5.25,3.2,-1.0,-1.0,-1.0,6.75,6.25,8.0
63000072,4.8,5.25,5.4,-1.0,-1.0,-1.0,6.75,5.5,8.5
63000073,7.4,5.5,4.2,8.25,9.0,5.5,-1.0,-1.0,-1.0
63000074,8.8,6.0,8.0,-1.0,-1.0,-1.0,8.5,7.5,9.0
63000075,2.8,4.0,-1.0,-1.0,-1.0,-1.0,2.75,3.25,-1.0
63000076,4.8,3.5,2.2,-1.0,-1.0,-1.0,2.25,5.0,4.25
63000077,8.2,5.25,6.4,-1.0,-1.0,-1.0,5.5,6.25,7.25
63000078,5.8,4.75,2.4,-1.0,-1.0,-1.0,6.75,6.25,8.25
63000079,8.0,6.25,-1.0,-1.0,-1.0,-1.0,7.0,7.0,8.25
63000080,5.6,4.25,3.2,-1.0,-1.0,-1.0,5.75,6.0,6.0
63000081,8.6,7.25,8.2,8.0,7.0,4.75,-1.0,-1.0,-1.0
63000082,7.4,4.75,4.2,7.0,6.5,3.75,-1.0,-1.0,-1.0
63000083,8.4,-1.0,-1.0,6.5,8.0,-1.0,-1.0,-1.0,-1.0
63000084,7.4,6.5,5.8,3.0,7.75,6.75,-1.0,-1.0,-1.0
63000085,-1.0,5.5,-1.0,-1.0,-1.0,-1.0,9.75,9.0,-1.0
63000086,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,7.75,8.0,-1.0
63000087,5.8,5.25,3.8,-1.0,-1.0,-1.0,4.75,6.0,7.25
63000088,3.8,3.0,4.0,-1.0,-1.0,-1.0,6.25,5.75,7.25
63000089,4.4,3.5,3.0,-1.0,-1.0,-1.0,5.25,5.25,6.0
63000090,6.4,7.0,3.4,-1.0,-1.0,-1.0,8.0,7.0,7.75
63000091,5.4,7.25,3.6,-1.0,-1.0,-1.0,8.25,8.25,7.5
63000092,7.4,6.0,4.4,6.5,8.0,5.25,-1.0,-1.0,-1.0
63000093,6.6,5.25,3.0,7.25,7.5,4.25,-1.0,-1.0,-1.0
63000094,6.0,4.5,3.6,6.75,6.0,5.0,-1.0,-1.0,-1.0
63000095,7.8,8.0,6.2,-1.0,-1.0,-1.0,6.25,7.0,6.75
63000096,7.4,7.25,8.6,-1.0,-1.0,-1.0,9.0,8.0,9.25
63000097,7.4,5.75,7.6,-1.0,-1.0,-1.0,7.0,7.0,8.0
63000098,6.4,4.75,3.2,-1.0,-1.0,-1.0,7.0,7.0,8.5
63000099,8.0,4.0,5.8,6.75,3.25,5.75,-1.0,-1.0,-1.0
63000100,6.4,3.25,3.6,-1.0,-1.0,-1.0,5.5,6.75,7.75
63000101,-1.0,3.25,-1.0,-1.0,-1.0,-1.0,2.75,6.0,-1.0
63000102,5.8,3.5,3.4,4.5,6.0,5.0,-1.0,-1.0,-1.0
63000103,-1.0,4.5,-1.0,-1.0,-1.0,-1.0,5.75,5.5,-1.0
63000104,6.4,-1.0,-1.0,4.25,5.75,-1.0,-1.0,-1.0,-1.0
63000105,6.0,3.5,4.8,-1.0,-1.0,-1.0,6.25,6.0,7.75
63000106,9.0,6.0,6.2,8.25,8.5,5.0,-1.0,-1.0,-1.0
63000107,8.8,-1.0,2.4,7.25,-1.0,-1.0,-1.0,-1.0,-1.0
63000108,6.8,7.0,6.4,-1.0,-1.0,-1.0,6.75,8.0,8.0
63000109,7.6,5.0,6.6,7.75,6.5,5.25,-1.0,-1.0,-1.0
63000110,7.2,4.25,4.6,6.0,7.0,5.5,-1.0,-1.0,-1.0
63000111,6.8,6.0,2.8,4.75,5.75,3.5,-1.0,-1.0,-1.0
63000112,5.6,4.5,5.0,-1.0,-1.0,-1.0,6.5,6.25,7.0
63000113,7.4,-1.0,-1.0,6.0,6.5,-1.0,-1.0,-1.0,-1.0
63000114,7.2,6.75,2.8,-1.0,-1.0,-1.0,6.75,9.25,9.0
63000115,8.6,4.75,6.6,7.75,7.75,6.75,-1.0,-1.0,-1.0
63000116,6.6,4.75,4.2,6.25,6.75,4.25,-1.0,-1.0,-1.0
63000117,7.4,-1.0,-1.0,4.75,5.5,-1.0,-1.0,-1.0,-1.0
63000118,7.4,6.0,5.6,6.0,6.75,3.75,-1.0,-1.0,-1.0
63000119,7.8,4.5,3.8,5.25,7.75,7.75,-1.0,-1.0,-1.0
63000120,7.4,4.0,2.6,-1.0,-1.0,-1.0,4.75,5.25,7.75
63000121,8.2,4.0,6.0,5.5,4.5,5.25,-1.0,-1.0,-1.0
63000122,8.0,5.75,8.6,6.5,4.0,4.0,-1.0,-1.0,-1.0
63000123,6.8,7.25,4.2,-1.0,-1.0,-1.0,7.75,6.75,8.25
63000124,7.6,6.75,9.0,-1.0,-1.0,-1.0,9.5,8.0,9.25
63000125,7.8,7.25,4.2,4.5,7.5,5.25,-1.0,-1.0,-1.0
63000126,6.4,5.25,2.6,4.75,6.25,4.25,-1.0,-1.0,-1.0
63000127,6.4,5.75,3.6,-1.0,-1.0,-1.0,3.75,7.0,7.0
63000128,6.8,4.75,5.2,6.75,6.0,5.5,-1.0,-1.0,-1.0
63000129,7.4,8.0,8.0,-1.0,-1.0,-1.0,6.5,8.0,7.5
63000130,8.8,7.5,6.0,7.0,8.5,7.75,-1.0,-1.0,-1.0
63000131,8.2,5.5,6.0,7.25,8.25,4.75,-1.0,-1.0,-1.0
63000132,6.0,7.0,8.0,-1.0,-1.0,-1.0,7.25,7.0,8.75
63000133,3.0,5.25,-1.0,-1.0,-1.0,-1.0,4.25,6.5,-1.0
63000134,4.4,5.5,2.0,-1.0,-1.0,-1.0,3.25,5.5,6.0
63000135,6.0,5.25,2.8,-1.0,-1.0,-1.0,5.75,6.25,7.0
63000136,2.6,4.5,1.8,-1.0,-1.0,-1.0,3.0,6.25,6.75
63000137,6.6,7.0,4.4,-1.0,-1.0,-1.0,4.25,6.5,7.75
63000138,4.0,5.5,3.4,-1.0,-1.0,-1.0,6.25,6.5,7.0
63000139,6.0,6.5,3.8,-1.0,-1.0,-1.0,6.75,8.0,8.5
63000140,7.4,-1.0,-1.0,7.75,9.0,-1.0,-1.0,-1.0,-1.0
63000141,7.0,5.5,3.0,-1.0,-1.0,-1.0,6.25,6.0,7.5
63000142,8.6,5.75,7.8,8.5,6.25,4.75,-1.0,-1.0,-1.0
63000143,6.2,5.25,2.8,6.0,3.0,3.75,-1.0,-1.0,-1.0
63000144,7.2,4.25,5.6,-1.0,-1.0,-1.0,6.25,5.5,5.5
63000145,9.0,3.75,6.4,8.5,8.75,4.75,-1.0,-1.0,-1.0
63000146,8.2,4.75,2.6,6.75,6.75,6.75,-1.0,-1.0,-1.0
63000147,6.8,4.5,2.4,-1.0,-1.0,-1.0,4.25,5.25,7.0
63000148,-1.0,5.25,-1.0,-1.0,-1.0,-1.0,8.0,5.75,-1.0
63000149,-1.0,5.5,-1.0,-1.0,-1.0,-1.0,9.0,7.75,-1.0
63000150,6.6,5.5,2.6,-1.0,-1.0,-1.0,6.25,7.0,7.5
63000151,6.2,6.0,5.2,5.0,5.5,4.75,-1.0,-1.0,-1.0
63000152,7.0,6.75,-1.0,-1.0,-1.0,-1.0,8.25,-1.0,-1.0
63000153,7.6,6.0,4.4,5.25,5.75,3.0,-1.0,-1.0,-1.0
63000154,6.8,5.0,6.6,6.0,7.25,4.5,-1.0,-1.0,-1.0
63000155,4.2,4.25,2.8,-1.0,-1.0,-1.0,6.0,7.25,6.0
63000156,8.4,5.75,5.6,8.0,8.5,4.75,-1.0,-1.0,-1.0
63000157,3.6,4.5,3.4,-1.0,-1.0,-1.0,6.0,6.0,7.75
