ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
40000001,2.6,2.25,-1.0,-1.0,-1.0,-1.0,5.5,5.0,-1.0
40000002,6.6,5.5,6.6,6.0,7.5,4.5,-1.0,-1.0,-1.0
40000003,8.0,7.25,5.0,7.0,7.5,4.75,-1.0,-1.0,-1.0
40000004,8.0,8.5,7.4,8.75,8.75,4.0,-1.0,-1.0,-1.0
40000005,7.6,6.75,5.2,-1.0,-1.0,-1.0,8.5,7.75,9.75
40000006,8.4,7.25,4.4,5.0,5.0,4.5,-1.0,-1.0,-1.0
40000007,5.6,6.0,3.2,-1.0,-1.0,-1.0,6.0,7.0,7.25
40000008,7.2,8.5,6.6,7.0,4.75,4.25,-1.0,-1.0,-1.0
40000009,4.2,4.5,1.8,3.0,2.75,3.0,-1.0,-1.0,-1.0
40000010,8.2,7.5,6.6,-1.0,-1.0,-1.0,8.25,7.25,8.25
40000011,8.0,7.75,8.4,7.0,8.5,7.0,-1.0,-1.0,-1.0
40000012,5.8,5.75,3.6,4.5,4.25,4.25,-1.0,-1.0,-1.0
40000013,4.0,4.25,2.0,-1.0,-1.0,-1.0,3.25,6.0,7.25
40000014,6.8,6.0,5.8,6.5,4.5,4.25,-1.0,-1.0,-1.0
40000015,7.2,7.25,3.8,7.5,8.0,3.5,-1.0,-1.0,-1.0
40000016,2.4,6.0,3.0,-1.0,-1.0,-1.0,4.25,5.0,6.75
40000017,5.2,6.25,4.4,-1.0,-1.0,-1.0,6.25,7.25,8.5
40000018,3.2,4.5,2.4,-1.0,-1.0,-1.0,4.75,5.75,7.75
40000019,3.4,3.75,3.2,-1.0,-1.0,-1.0,5.0,6.0,7.5
40000020,4.6,5.5,2.6,-1.0,-1.0,-1.0,4.5,5.5,7.0
40000021,5.8,6.25,4.0,-1.0,-1.0,-1.0,6.0,6.75,7.75
40000022,6.2,4.0,3.2,4.75,5.5,4.0,-1.0,-1.0,-1.0
40000023,5.2,5.25,3.6,-1.0,-1.0,-1.0,3.5,4.25,6.5
40000024,7.0,6.75,4.0,-1.0,-1.0,-1.0,6.75,6.5,7.5
40000025,2.4,5.0,2.8,-1.0,-1.0,-1.0,4.75,5.25,6.25
40000026,5.6,4.5,3.6,-1.0,-1.0,-1.0,4.75,6.25,6.0
40000027,5.6,5.75,2.8,-1.0,-1.0,-1.0,5.0,5.25,7.75
40000028,4.2,6.5,2.4,-1.0,-1.0,-1.0,6.5,6.5,5.75
40000029,4.4,4.5,3.8,-1.0,-1.0,-1.0,4.0,5.0,7.0
40000030,8.4,6.25,8.8,7.75,9.25,7.75,-1.0,-1.0,-1.0
40000031,3.6,5.25,3.0,-1.0,-1.0,-1.0,3.25,5.0,6.25
40000032,-1.0,5.75,-1.0,-1.0,-1.0,-1.0,2.75,4.75,-1.0
40000033,5.4,6.25,3.4,-1.0,-1.0,-1.0,5.75,7.25,8.25
40000034,6.6,7.5,4.2,5.25,4.5,4.25,-1.0,-1.0,-1.0
40000035,7.4,5.75,5.0,-1.0,-1.0,-1.0,9.5,8.75,9.25
40000036,2.0,5.5,-1.0,-1.0,-1.0,-1.0,2.0,3.0,-1.0
40000037,2.0,5.0,2.2,-1.0,-1.0,-1.0,4.25,5.5,5.25
40000038,4.2,5.0,2.2,-1.0,-1.0,-1.0,4.75,5.0,6.25
40000039,5.6,5.0,4.2,-1.0,-1.0,-1.0,5.5,6.5,8.75
40000040,2.8,4.5,2.0,-1.0,-1.0,-1.0,4.5,5.75,6.5
40000041,8.0,4.75,5.2,7.25,7.0,4.75,-1.0,-1.0,-1.0
