ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
21000001,6.8,7.0,-1.0,-1.0,-1.0,-1.0,6.25,6.0,-1.0
21000002,8.2,6.25,8.2,7.25,3.25,4.25,-1.0,-1.0,-1.0
21000003,8.2,7.5,7.8,-1.0,-1.0,-1.0,7.75,8.0,9.0
21000004,7.8,7.5,3.8,-1.0,-1.0,-1.0,8.75,8.25,8.5
21000005,8.6,6.5,5.0,7.25,7.5,6.75,-1.0,-1.0,-1.0
21000006,4.6,6.5,7.0,-1.0,-1.0,-1.0,7.25,7.75,8.75
21000007,8.4,6.5,3.2,7.25,8.5,6.75,-1.0,-1.0,-1.0
21000008,7.6,8.0,6.0,6.25,3.5,5.25,-1.0,-1.0,-1.0
21000009,8.4,7.5,7.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21000010,2.4,4.5,-1.0,-1.0,-1.0,-1.0,4.25,6.25,-1.0
21000011,8.4,8.25,7.2,9.5,9.25,7.0,-1.0,-1.0,-1.0
21000012,6.8,6.0,-1.0,-1.0,-1.0,-1.0,7.75,7.0,-1.0
21000013,-1.0,4.25,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0
21000014,3.6,5.25,-1.0,-1.0,-1.0,-1.0,6.0,4.5,-1.0
21000015,3.8,2.25,-1.0,-1.0,-1.0,-1.0,7.0,2.5,-1.0
21000016,8.0,7.0,8.6,9.5,7.0,6.0,-1.0,-1.0,-1.0
21000017,4.0,3.25,-1.0,-1.0,-1.0,-1.0,5.0,5.0,-1.0
21000018,8.4,7.5,9.0,7.75,6.75,5.75,-1.0,-1.0,-1.0
21000019,6.0,7.25,5.0,-1.0,-1.0,-1.0,6.75,6.0,7.5
21000020,7.8,7.75,4.6,7.5,8.5,4.75,-1.0,-1.0,-1.0
21000021,7.0,8.0,6.2,5.5,5.75,5.25,-1.0,-1.0,-1.0
21000022,8.0,9.0,6.4,-1.0,-1.0,-1.0,8.0,7.5,9.75
21000023,5.6,7.0,3.8,-1.0,-1.0,-1.0,7.75,8.75,9.0
21000024,8.8,6.75,3.4,8.25,8.25,4.75,-1.0,-1.0,-1.0
21000025,3.8,7.0,4.4,5.75,3.0,3.25,-1.0,-1.0,-1.0
21000026,7.6,8.0,8.2,-1.0,-1.0,-1.0,6.25,8.0,9.5
21000027,7.8,8.5,9.8,-1.0,-1.0,-1.0,6.75,8.0,9.0
21000028,4.2,3.75,-1.0,-1.0,-1.0,-1.0,5.0,6.25,-1.0
21000029,8.2,8.5,8.8,-1.0,-1.0,-1.0,7.5,7.75,9.5
21000030,7.6,7.75,6.6,-1.0,-1.0,-1.0,6.5,6.75,8.0
21000031,8.6,8.75,9.0,-1.0,-1.0,-1.0,7.75,8.0,9.0
21000032,8.4,8.5,6.2,-1.0,-1.0,-1.0,7.25,9.25,9.75
21000033,6.2,5.25,-1.0,-1.0,-1.0,-1.0,4.75,6.25,-1.0
21000034,4.6,6.25,-1.0,-1.0,-1.0,-1.0,6.75,5.75,-1.0
21000035,7.6,7.75,4.8,7.25,8.5,4.25,-1.0,-1.0,-1.0
21000036,6.6,8.5,6.6,-1.0,-1.0,-1.0,6.25,5.75,8.5
21000037,8.4,8.75,8.6,-1.0,-1.0,-1.0,7.25,7.5,9.5
21000038,8.6,8.25,6.4,7.75,7.75,6.75,-1.0,-1.0,-1.0
21000039,6.6,8.25,6.8,4.5,8.25,5.5,-1.0,-1.0,-1.0
