ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
42000001,8.0,6.25,6.4,7.25,6.0,3.75,-1.0,-1.0,-1.0
42000002,8.0,7.75,7.8,7.0,7.5,8.5,-1.0,-1.0,-1.0
42000003,7.6,8.25,6.2,5.75,5.75,6.75,-1.0,-1.0,-1.0
42000004,7.8,7.0,6.4,7.25,6.75,5.75,-1.0,-1.0,-1.0
42000005,7.8,6.75,5.0,-1.0,-1.0,-1.0,6.25,7.5,8.25
42000006,8.4,7.0,7.6,-1.0,-1.0,-1.0,8.5,8.0,9.5
42000007,8.4,8.25,7.2,8.75,8.25,5.25,-1.0,-1.0,-1.0
42000008,8.4,6.25,6.0,7.0,8.0,4.75,-1.0,-1.0,-1.0
42000009,7.6,6.25,6.4,-1.0,-1.0,-1.0,8.25,8.5,9.5
42000010,7.6,7.0,8.4,7.25,8.0,6.5,-1.0,-1.0,-1.0
42000011,8.0,5.75,7.8,7.0,4.0,4.0,-1.0,-1.0,-1.0
42000012,7.8,6.5,4.4,-1.0,-1.0,-1.0,6.25,7.25,8.75
42000013,7.6,8.25,8.2,7.75,8.75,6.25,-1.0,-1.0,-1.0
42000014,8.4,5.25,6.6,7.75,5.25,3.5,-1.0,-1.0,-1.0
42000015,6.4,7.5,9.0,-1.0,-1.0,-1.0,7.75,7.0,8.25
42000016,8.8,6.25,9.4,6.75,5.5,4.0,-1.0,-1.0,-1.0
42000017,4.8,6.25,6.2,-1.0,-1.0,-1.0,6.75,6.75,8.0
42000018,6.0,6.0,7.2,-1.0,-1.0,-1.0,7.25,7.25,8.75
42000019,8.0,8.5,6.0,-1.0,-1.0,-1.0,6.5,8.0,8.5
42000020,5.2,7.75,8.2,-1.0,-1.0,-1.0,6.0,5.75,8.5
42000021,6.2,7.0,4.8,-1.0,-1.0,-1.0,6.0,7.25,8.0
42000022,7.6,7.0,6.0,-1.0,-1.0,-1.0,7.0,7.5,8.75
42000023,7.6,6.0,7.8,-1.0,-1.0,-1.0,6.75,7.0,8.25
42000024,8.6,8.5,8.8,-1.0,-1.0,-1.0,7.75,9.25,9.25
42000025,8.8,8.0,9.2,8.75,6.5,4.75,-1.0,-1.0,-1.0
42000026,7.6,6.25,5.4,7.25,7.5,5.25,-1.0,-1.0,-1.0
42000027,6.0,7.5,4.4,-1.0,-1.0,-1.0,7.5,7.5,8.5
42000028,8.0,6.25,7.2,7.0,7.25,5.5,-1.0,-1.0,-1.0
42000029,7.6,7.0,6.2,-1.0,-1.0,-1.0,6.25,7.75,8.0
42000030,7.6,8.0,7.2,-1.0,-1.0,-1.0,8.0,7.5,8.75
42000031,8.0,7.5,8.0,8.0,9.0,7.0,-1.0,-1.0,-1.0
42000032,7.4,7.5,7.6,7.25,7.25,6.5,-1.0,-1.0,-1.0
42000033,8.0,7.25,4.4,7.5,8.0,4.5,-1.0,-1.0,-1.0
42000034,6.8,6.75,9.2,-1.0,-1.0,-1.0,5.0,7.0,8.75
42000035,8.2,6.5,6.8,6.5,8.5,4.75,-1.0,-1.0,-1.0
42000036,7.4,6.5,5.4,7.75,7.75,6.5,-1.0,-1.0,-1.0
42000037,8.6,8.75,8.0,8.5,8.0,7.25,-1.0,-1.0,-1.0
42000038,7.8,8.5,6.4,-1.0,-1.0,-1.0,8.75,9.25,9.25
42000039,6.8,7.0,4.2,6.0,5.5,4.25,-1.0,-1.0,-1.0
42000040,8.0,8.5,7.6,-1.0,-1.0,-1.0,8.25,8.25,8.75
42000041,7.8,7.75,6.2,-1.0,-1.0,-1.0,8.0,6.5,9.5
42000042,6.0,6.75,5.6,5.0,5.75,3.25,-1.0,-1.0,-1.0
42000043,6.0,5.75,3.2,-1.0,-1.0,-1.0,4.25,7.5,8.75
42000044,7.8,6.5,6.6,7.5,6.0,4.25,-1.0,-1.0,-1.0
42000045,7.6,7.0,6.4,8.25,7.75,4.75,-1.0,-1.0,-1.0
42000046,9.2,8.5,7.0,8.0,8.25,8.25,-1.0,-1.0,-1.0
42000047,6.8,8.25,6.8,6.0,8.25,8.5,-1.0,-1.0,-1.0
42000048,6.2,6.0,5.6,7.75,6.25,3.5,-1.0,-1.0,-1.0
42000049,7.0,6.0,6.2,6.0,7.0,5.75,-1.0,-1.0,-1.0
42000050,7.2,8.0,5.4,-1.0,-1.0,-1.0,7.5,6.75,8.75
42000051,7.2,5.75,5.8,-1.0,-1.0,-1.0,7.75,7.0,8.75
42000052,8.0,7.0,5.6,6.5,6.5,6.0,-1.0,-1.0,-1.0
42000053,8.0,6.5,6.4,8.25,7.75,6.25,-1.0,-1.0,-1.0
42000054,8.0,7.25,6.0,7.75,8.25,5.0,-1.0,-1.0,-1.0
42000055,8.0,7.5,9.0,7.25,8.0,6.75,-1.0,-1.0,-1.0
42000056,7.8,7.5,7.0,-1.0,-1.0,-1.0,6.75,7.25,9.25
42000057,7.6,6.75,8.8,8.0,7.0,6.25,-1.0,-1.0,-1.0
42000058,7.2,8.25,6.8,-1.0,-1.0,-1.0,7.25,8.5,8.25
42000059,7.8,8.0,7.8,7.75,6.0,6.5,-1.0,-1.0,-1.0
42000060,5.4,6.5,6.2,-1.0,-1.0,-1.0,7.5,7.0,9.25
42000061,5.4,3.75,2.6,-1.0,-1.0,-1.0,4.0,6.5,7.25
42000062,4.4,5.5,4.2,6.75,6.75,4.0,-1.0,-1.0,-1.0
42000063,5.6,6.75,5.2,-1.0,-1.0,-1.0,6.25,6.75,8.0
42000064,5.0,4.5,2.2,-1.0,-1.0,-1.0,3.75,6.5,8.25
42000065,7.8,7.75,5.4,8.25,8.75,5.5,-1.0,-1.0,-1.0
42000066,8.0,6.75,7.4,8.0,8.75,5.5,-1.0,-1.0,-1.0
