ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
14000001,4.6,4.75,3.6,-1.0,-1.0,-1.0,6.0,5.5,8.0
14000002,7.4,6.75,9.0,-1.0,-1.0,-1.0,7.25,7.25,8.0
14000003,8.4,5.0,2.8,5.25,8.25,6.75,-1.0,-1.0,-1.0
14000004,8.6,5.25,5.2,9.25,8.75,6.5,-1.0,-1.0,-1.0
14000005,8.0,5.5,5.4,7.25,3.75,2.75,-1.0,-1.0,-1.0
14000006,5.0,4.75,2.4,-1.0,-1.0,-1.0,4.75,7.0,7.0
14000007,6.4,4.5,5.4,-1.0,-1.0,-1.0,4.0,6.5,8.5
14000008,6.0,6.25,-1.0,-1.0,-1.0,-1.0,6.75,7.25,-1.0
14000009,3.8,4.0,-1.0,-1.0,-1.0,-1.0,4.5,5.75,-1.0
14000010,5.6,6.0,-1.0,-1.0,-1.0,-1.0,7.75,8.25,-1.0
14000011,4.4,6.75,4.8,-1.0,-1.0,-1.0,7.75,6.75,8.0
14000012,5.0,6.5,3.0,-1.0,-1.0,-1.0,5.75,6.0,8.25
14000013,9.2,6.75,5.4,-1.0,-1.0,-1.0,5.75,5.75,8.0
14000014,6.4,8.0,5.2,-1.0,-1.0,-1.0,6.5,6.0,9.0
14000015,5.4,5.25,-1.0,-1.0,-1.0,-1.0,6.25,7.5,-1.0
14000016,2.8,2.75,-1.0,-1.0,-1.0,-1.0,6.0,6.0,-1.0
14000017,6.2,5.25,4.4,-1.0,-1.0,-1.0,6.5,5.75,8.25
14000018,8.2,6.25,4.8,3.25,7.5,8.5,-1.0,-1.0,-1.0
14000019,7.8,7.0,5.8,-1.0,-1.0,-1.0,7.5,6.75,8.75
14000020,7.8,6.75,5.4,-1.0,-1.0,-1.0,6.75,7.0,8.5
14000021,6.4,6.75,5.0,-1.0,-1.0,-1.0,6.75,6.5,7.75
14000022,7.4,6.25,5.0,4.0,8.0,5.5,-1.0,-1.0,-1.0
14000023,7.4,7.0,6.6,-1.0,-1.0,-1.0,6.25,7.0,9.0
14000024,6.8,6.75,5.4,-1.0,-1.0,-1.0,6.75,7.0,8.0
14000025,8.6,6.75,6.0,-1.0,-1.0,-1.0,6.25,8.5,8.75
14000026,7.2,6.5,2.2,-1.0,-1.0,-1.0,7.0,7.5,8.25
14000027,5.6,7.0,5.2,-1.0,-1.0,-1.0,6.25,6.5,9.0
14000028,8.2,6.75,5.4,-1.0,-1.0,-1.0,6.75,6.5,8.75
14000029,7.0,5.75,4.0,-1.0,-1.0,-1.0,6.5,7.0,7.25
14000030,8.4,6.5,9.0,7.5,2.5,4.75,-1.0,-1.0,-1.0
14000031,4.4,7.0,3.6,-1.0,-1.0,-1.0,8.75,9.0,9.25
14000032,6.2,5.25,4.4,-1.0,-1.0,-1.0,8.25,7.75,9.0
14000033,3.4,3.75,-1.0,-1.0,-1.0,-1.0,6.5,5.0,-1.0
14000034,6.8,6.5,4.0,-1.0,-1.0,-1.0,8.25,6.75,9.25
14000035,8.2,5.25,4.0,7.5,4.5,4.0,-1.0,-1.0,-1.0
14000036,7.8,6.5,4.4,-1.0,-1.0,-1.0,8.25,7.5,9.25
14000037,5.0,7.25,2.0,-1.0,-1.0,-1.0,7.75,6.75,9.25
