ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
43000001,6.8,7.0,3.8,-1.0,-1.0,-1.0,7.0,7.5,7.25
43000002,7.6,6.25,6.6,8.5,6.75,4.75,-1.0,-1.0,-1.0
43000003,7.6,5.75,4.8,-1.0,-1.0,-1.0,6.75,7.25,7.75
43000004,4.2,3.5,1.8,-1.0,-1.0,-1.0,2.75,5.0,6.25
43000005,5.8,7.25,4.8,-1.0,-1.0,-1.0,6.5,8.75,8.25
43000006,7.4,8.75,8.4,-1.0,-1.0,-1.0,7.0,7.5,8.25
43000007,5.2,5.75,4.4,2.25,3.75,5.5,-1.0,-1.0,-1.0
43000008,7.4,6.75,6.4,5.25,5.5,6.0,-1.0,-1.0,-1.0
43000009,7.2,5.5,3.6,6.75,7.25,4.0,-1.0,-1.0,-1.0
43000010,8.2,7.75,7.4,6.75,8.0,3.25,-1.0,-1.0,-1.0
43000011,4.6,6.75,4.0,-1.0,-1.0,-1.0,3.75,6.5,7.75
43000012,8.4,8.0,6.6,6.25,7.75,4.75,-1.0,-1.0,-1.0
43000013,8.2,6.25,6.4,7.25,5.25,5.0,-1.0,-1.0,-1.0
43000014,4.4,5.0,3.4,-1.0,-1.0,-1.0,7.25,6.0,8.5
43000015,4.4,6.25,4.0,-1.0,-1.0,-1.0,7.5,6.75,8.0
43000016,6.0,7.25,4.6,-1.0,-1.0,-1.0,8.25,7.5,9.5
43000017,7.2,7.75,5.8,-1.0,-1.0,-1.0,8.5,8.75,9.75
43000018,6.6,6.75,3.6,5.25,4.25,3.75,-1.0,-1.0,-1.0
43000019,7.6,8.25,6.4,7.0,6.0,4.75,-1.0,-1.0,-1.0
43000020,7.6,7.5,4.8,-1.0,-1.0,-1.0,6.75,7.5,8.5
43000021,8.2,6.0,5.4,-1.0,-1.0,-1.0,6.25,8.0,9.0
43000022,7.2,8.25,7.2,6.0,4.5,3.5,-1.0,-1.0,-1.0
43000023,7.8,6.5,8.0,-1.0,-1.0,-1.0,8.75,8.5,8.75
43000024,4.2,6.5,4.8,-1.0,-1.0,-1.0,4.25,6.0,6.75
43000025,5.0,6.0,6.8,-1.0,-1.0,-1.0,7.75,8.0,7.0
43000026,6.4,6.5,4.6,-1.0,-1.0,-1.0,9.25,7.5,8.75
43000027,6.0,8.0,6.6,4.0,3.0,3.5,-1.0,-1.0,-1.0
43000028,7.8,8.0,4.2,-1.0,-1.0,-1.0,8.75,8.75,9.5
43000029,7.6,5.75,6.4,-1.0,-1.0,-1.0,8.0,6.75,8.75
43000030,5.8,5.25,3.4,-1.0,-1.0,-1.0,5.0,5.75,7.0
43000031,6.8,7.25,5.4,-1.0,-1.0,-1.0,8.25,7.25,8.5
43000032,7.0,6.25,4.0,4.5,7.75,4.5,-1.0,-1.0,-1.0
43000033,5.8,6.5,3.8,5.25,6.0,5.75,-1.0,-1.0,-1.0
43000034,7.6,7.25,6.6,5.0,6.25,3.25,-1.0,-1.0,-1.0
43000035,4.6,6.25,4.2,-1.0,-1.0,-1.0,5.75,6.25,8.25
43000036,6.4,7.5,5.8,-1.0,-1.0,-1.0,8.5,8.5,9.5
43000037,6.6,7.0,6.0,-1.0,-1.0,-1.0,8.0,7.75,8.75
43000038,6.4,5.0,5.4,4.25,5.5,3.75,-1.0,-1.0,-1.0
43000039,7.6,6.75,4.6,-1.0,-1.0,-1.0,8.25,6.5,8.75
43000040,5.4,5.75,4.8,-1.0,-1.0,-1.0,6.75,7.25,7.25
43000041,7.8,6.0,7.8,5.75,4.5,4.5,-1.0,-1.0,-1.0
43000042,4.6,5.0,6.6,-1.0,-1.0,-1.0,5.25,6.5,7.5
43000043,6.4,5.75,4.2,-1.0,-1.0,-1.0,6.0,5.0,7.5
43000044,7.4,5.5,3.0,6.0,3.25,3.25,-1.0,-1.0,-1.0
43000045,5.4,4.5,7.6,-1.0,-1.0,-1.0,8.0,6.25,8.5
43000046,8.2,5.5,6.0,6.75,6.5,6.0,-1.0,-1.0,-1.0
43000047,6.4,7.0,5.4,-1.0,-1.0,-1.0,6.75,7.25,9.0
43000048,5.0,6.25,3.0,-1.0,-1.0,-1.0,6.25,5.75,8.25
43000049,7.4,7.5,6.4,7.5,6.75,7.75,-1.0,-1.0,-1.0
43000050,6.8,6.5,7.8,7.0,4.25,4.5,-1.0,-1.0,-1.0
43000051,5.2,6.5,4.2,-1.0,-1.0,-1.0,6.5,7.25,7.5
43000052,8.8,6.75,7.0,6.0,9.0,8.75,-1.0,-1.0,-1.0
43000053,8.4,5.75,8.0,7.0,6.0,3.75,-1.0,-1.0,-1.0
43000054,6.4,5.5,3.6,-1.0,-1.0,-1.0,5.0,7.25,8.0
43000055,8.4,5.5,7.0,8.5,8.25,5.75,-1.0,-1.0,-1.0
43000056,3.8,5.75,4.6,-1.0,-1.0,-1.0,8.25,9.0,7.75
43000057,6.8,6.75,4.0,-1.0,-1.0,-1.0,4.75,6.0,7.0
43000058,8.4,6.25,6.8,7.0,7.5,4.0,-1.0,-1.0,-1.0
43000059,7.6,6.75,5.6,8.0,7.5,6.5,-1.0,-1.0,-1.0
43000060,7.4,7.5,7.8,8.0,6.0,4.5,-1.0,-1.0,-1.0
43000061,6.0,5.5,5.2,-1.0,-1.0,-1.0,8.75,7.5,8.5
43000062,6.8,7.0,6.4,-1.0,-1.0,-1.0,6.25,7.25,7.75
43000063,7.6,6.75,8.0,7.25,5.75,3.75,-1.0,-1.0,-1.0
43000064,7.0,8.0,8.6,-1.0,-1.0,-1.0,8.5,8.25,9.25
43000065,7.8,5.75,4.8,6.25,5.25,5.25,-1.0,-1.0,-1.0
43000066,5.8,4.25,3.6,-1.0,-1.0,-1.0,6.5,7.0,8.5
43000067,5.2,5.5,5.2,-1.0,-1.0,-1.0,7.25,7.25,8.0
43000068,5.2,5.5,5.2,-1.0,-1.0,-1.0,6.0,6.0,8.25
43000069,6.8,7.25,5.8,-1.0,-1.0,-1.0,7.75,8.25,8.5
43000070,6.6,5.75,6.0,-1.0,-1.0,-1.0,8.5,7.25,9.75
43000071,5.8,5.25,5.8,-1.0,-1.0,-1.0,7.5,4.75,8.25
43000072,5.2,7.5,5.6,-1.0,-1.0,-1.0,5.0,5.75,7.25
43000073,7.0,6.25,5.0,-1.0,-1.0,-1.0,7.5,7.0,9.0
43000074,5.4,6.5,4.6,-1.0,-1.0,-1.0,6.75,5.75,8.0
43000075,5.2,4.5,4.6,-1.0,-1.0,-1.0,7.0,8.0,7.75
43000076,6.8,7.0,6.8,-1.0,-1.0,-1.0,8.5,7.25,9.25
43000077,8.2,8.25,7.0,-1.0,-1.0,-1.0,5.75,6.25,8.5
43000078,5.6,6.75,7.4,-1.0,-1.0,-1.0,9.0,8.25,8.5
43000079,8.0,6.0,6.4,7.5,6.25,5.75,-1.0,-1.0,-1.0
43000080,6.8,5.25,3.2,-1.0,-1.0,-1.0,7.0,5.5,8.0
