ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
13000001,5.0,6.75,8.4,-1.0,-1.0,-1.0,6.0,6.75,7.5
13000002,8.4,8.75,8.6,-1.0,-1.0,-1.0,7.25,7.75,8.5
13000003,6.0,9.25,7.4,-1.0,-1.0,-1.0,8.25,8.75,8.0
13000004,8.2,8.0,9.4,-1.0,-1.0,-1.0,8.0,7.25,8.75
13000005,8.8,9.5,9.4,-1.0,-1.0,-1.0,7.75,8.0,8.5
13000006,8.6,5.25,7.4,6.75,5.75,4.25,-1.0,-1.0,-1.0
13000007,8.6,7.75,9.6,-1.0,-1.0,-1.0,8.0,8.75,8.25
13000008,8.8,7.0,9.6,7.5,6.5,6.75,-1.0,-1.0,-1.0
13000009,8.2,8.25,8.2,-1.0,-1.0,-1.0,7.5,6.5,9.0
13000010,8.6,5.75,8.2,8.75,6.0,6.0,-1.0,-1.0,-1.0
13000011,8.4,7.0,9.2,-1.0,-1.0,-1.0,8.5,8.25,9.0
13000012,7.6,9.25,9.0,-1.0,-1.0,-1.0,8.0,6.0,8.5
13000013,8.0,9.25,8.8,-1.0,-1.0,-1.0,8.0,8.0,7.5
13000014,7.4,8.0,6.4,7.5,9.0,6.0,-1.0,-1.0,-1.0
13000015,8.0,8.0,7.6,2.75,7.5,7.25,-1.0,-1.0,-1.0
13000016,9.2,8.75,9.2,-1.0,-1.0,-1.0,8.5,9.25,9.0
13000017,7.8,9.25,9.4,-1.0,-1.0,-1.0,8.75,9.5,8.5
13000018,8.0,8.75,9.2,-1.0,-1.0,-1.0,8.25,9.25,8.75
13000019,7.2,8.25,8.8,-1.0,-1.0,-1.0,8.75,9.0,9.0
13000020,8.6,6.0,7.2,5.5,9.0,8.25,-1.0,-1.0,-1.0
13000021,8.2,8.75,9.2,2.25,6.0,5.0,-1.0,-1.0,-1.0
13000022,4.6,8.5,9.2,-1.0,-1.0,-1.0,9.5,8.75,9.0
13000023,8.8,7.0,9.0,7.75,5.0,6.25,-1.0,-1.0,-1.0
13000024,5.8,8.75,5.6,-1.0,-1.0,-1.0,8.25,7.25,8.25
13000025,8.6,6.0,6.8,8.5,4.75,4.25,-1.0,-1.0,-1.0
13000026,8.4,5.75,9.2,7.5,5.0,4.75,-1.0,-1.0,-1.0
13000027,7.6,7.5,8.6,7.75,4.5,4.0,-1.0,-1.0,-1.0
13000028,8.6,9.0,7.8,-1.0,-1.0,-1.0,7.5,7.75,8.75
13000029,5.8,8.25,5.0,-1.0,-1.0,-1.0,6.75,8.5,7.25
13000030,8.4,7.75,9.0,9.25,9.75,7.0,-1.0,-1.0,-1.0
13000031,8.0,8.0,7.4,8.0,8.25,5.25,-1.0,-1.0,-1.0
13000032,8.2,7.5,6.6,6.75,9.0,8.75,-1.0,-1.0,-1.0
13000033,8.6,8.5,8.8,-1.0,-1.0,-1.0,9.25,8.75,9.5
13000034,7.4,7.25,8.4,4.0,7.0,5.25,-1.0,-1.0,-1.0
13000035,8.6,8.25,7.8,4.75,9.0,9.25,-1.0,-1.0,-1.0
13000036,6.2,8.5,5.8,-1.0,-1.0,-1.0,8.75,9.5,9.25
13000037,5.6,9.5,7.0,-1.0,-1.0,-1.0,9.25,9.0,8.5
13000038,8.2,7.75,7.6,7.5,7.5,8.25,-1.0,-1.0,-1.0
13000039,6.2,8.25,8.2,-1.0,-1.0,-1.0,8.25,7.75,7.75
13000040,8.4,8.5,9.2,9.0,7.25,6.25,-1.0,-1.0,-1.0
13000041,8.8,6.5,5.8,8.75,9.0,5.0,-1.0,-1.0,-1.0
13000042,8.2,9.25,9.8,-1.0,-1.0,-1.0,5.75,6.25,8.0
13000043,8.2,7.0,6.4,5.75,8.25,8.5,-1.0,-1.0,-1.0
13000044,8.2,6.0,6.6,6.25,7.0,6.5,-1.0,-1.0,-1.0
13000045,8.8,9.0,9.6,-1.0,-1.0,-1.0,9.0,8.5,9.5
13000046,8.8,7.5,9.0,9.75,9.5,7.75,-1.0,-1.0,-1.0
13000047,7.6,6.5,8.4,7.75,3.5,4.0,-1.0,-1.0,-1.0
13000048,8.8,7.5,6.8,8.75,8.5,5.5,-1.0,-1.0,-1.0
13000049,8.8,8.25,7.8,4.5,8.5,8.25,-1.0,-1.0,-1.0
13000050,8.8,8.75,9.2,-1.0,-1.0,-1.0,8.25,8.75,9.25
13000051,7.6,7.25,9.2,4.5,8.75,3.75,-1.0,-1.0,-1.0
13000052,8.6,8.75,9.8,-1.0,-1.0,-1.0,9.75,9.5,8.5
13000053,8.2,5.0,9.2,8.0,6.75,5.25,-1.0,-1.0,-1.0
13000054,8.0,9.0,9.6,-1.0,-1.0,-1.0,8.75,8.25,8.5
13000055,8.4,6.25,9.2,8.25,3.25,4.25,-1.0,-1.0,-1.0
13000056,8.8,6.5,6.8,8.5,8.75,5.25,-1.0,-1.0,-1.0
13000057,8.6,9.25,9.2,-1.0,-1.0,-1.0,9.25,7.75,8.0
13000058,7.0,8.75,4.8,-1.0,-1.0,-1.0,7.75,7.25,9.25
13000059,9.2,5.0,9.4,6.75,9.5,7.5,-1.0,-1.0,-1.0
13000060,9.0,7.5,8.8,8.25,8.0,8.5,-1.0,-1.0,-1.0
13000061,7.8,8.0,9.8,8.25,9.0,7.25,-1.0,-1.0,-1.0
