ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
32000001,8.6,6.0,2.6,7.75,7.75,3.25,-1.0,-1.0,-1.0
32000002,8.0,5.75,9.4,9.0,6.5,6.0,-1.0,-1.0,-1.0
32000003,7.6,3.75,7.4,8.5,4.25,5.5,-1.0,-1.0,-1.0
32000004,4.6,7.0,2.8,-1.0,-1.0,-1.0,5.75,5.5,7.75
32000005,6.8,6.5,4.2,-1.0,-1.0,-1.0,5.0,6.5,6.75
32000006,7.6,8.0,6.0,6.75,3.75,3.75,-1.0,-1.0,-1.0
32000007,4.8,5.5,2.6,-1.0,-1.0,-1.0,5.75,6.0,7.5
32000008,7.4,3.0,6.8,7.0,7.5,4.75,-1.0,-1.0,-1.0
32000009,7.4,2.75,6.2,3.0,5.5,2.75,-1.0,-1.0,-1.0
32000010,8.0,5.75,3.6,7.25,8.0,4.0,-1.0,-1.0,-1.0
32000011,8.6,7.0,5.6,8.25,5.25,4.75,-1.0,-1.0,-1.0
32000012,4.4,5.0,3.2,-1.0,-1.0,-1.0,8.25,7.25,6.5
32000013,7.0,5.0,2.8,6.5,6.5,4.75,-1.0,-1.0,-1.0
32000014,6.0,7.25,4.2,-1.0,-1.0,-1.0,7.5,6.25,7.5
32000015,7.2,6.0,7.0,7.5,5.25,3.75,-1.0,-1.0,-1.0
32000016,7.4,8.75,4.8,-1.0,-1.0,-1.0,7.75,7.75,7.5
32000017,6.2,7.25,4.2,6.25,7.25,3.5,-1.0,-1.0,-1.0
32000018,-1.0,7.75,-1.0,-1.0,-1.0,-1.0,9.25,8.75,-1.0
32000019,8.0,6.75,3.4,8.0,8.0,4.0,-1.0,-1.0,-1.0
32000020,6.6,7.5,5.0,-1.0,-1.0,-1.0,4.75,7.25,8.25
32000021,7.8,7.5,5.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32000022,8.6,5.5,6.0,6.5,8.5,4.75,-1.0,-1.0,-1.0
32000023,8.2,5.5,4.2,8.0,8.5,5.25,-1.0,-1.0,-1.0
32000024,6.8,5.0,3.2,-1.0,-1.0,-1.0,6.75,5.5,8.25
32000025,6.8,7.75,4.0,-1.0,-1.0,-1.0,10.0,9.5,9.25
32000026,8.2,7.75,8.8,-1.0,-1.0,-1.0,6.25,5.75,7.5
32000027,8.0,4.5,7.0,8.75,8.25,5.75,-1.0,-1.0,-1.0
32000028,8.2,7.0,9.2,-1.0,-1.0,-1.0,6.75,6.5,6.25
32000029,3.8,8.25,2.4,-1.0,-1.0,-1.0,3.5,5.5,6.0
32000030,5.6,6.5,4.0,-1.0,-1.0,-1.0,7.75,7.25,8.5
32000031,9.0,-1.0,-1.0,8.5,8.5,3.5,-1.0,-1.0,-1.0
32000032,5.4,6.0,4.0,-1.0,-1.0,-1.0,5.5,7.0,7.25
32000033,3.4,5.5,3.2,-1.0,-1.0,-1.0,2.75,3.75,4.75
32000034,7.2,4.25,4.8,-1.0,-1.0,-1.0,4.75,5.0,7.25
32000035,5.0,4.5,2.8,-1.0,-1.0,-1.0,3.75,7.0,7.0
32000036,5.2,5.25,-1.0,-1.0,-1.0,-1.0,6.0,6.75,-1.0
32000037,5.2,5.25,2.4,-1.0,-1.0,-1.0,4.75,6.75,7.75
32000038,3.6,6.0,2.6,-1.0,-1.0,-1.0,7.0,4.75,8.0
32000039,8.2,5.0,8.4,8.0,2.5,4.5,-1.0,-1.0,-1.0
32000040,4.8,5.5,2.2,-1.0,-1.0,-1.0,3.25,6.0,8.0
32000041,4.6,5.0,-1.0,-1.0,-1.0,-1.0,5.25,6.0,-1.0
32000042,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,9.25,9.0,-1.0
32000043,8.6,9.0,9.0,6.25,5.75,7.75,-1.0,-1.0,-1.0
32000044,5.4,6.75,2.8,-1.0,-1.0,-1.0,6.5,7.0,7.25
32000045,7.2,7.25,4.4,-1.0,-1.0,-1.0,8.25,7.25,8.75
32000046,5.4,6.0,3.8,-1.0,-1.0,-1.0,6.5,6.25,8.0
32000047,4.8,3.5,-1.0,-1.0,-1.0,-1.0,3.0,6.25,-1.0
32000048,6.8,6.0,7.0,-1.0,-1.0,-1.0,6.0,7.5,8.25
32000049,7.2,6.25,5.0,-1.0,-1.0,-1.0,8.5,8.25,9.0
32000050,5.8,8.75,5.6,-1.0,-1.0,-1.0,8.75,8.25,8.5
32000051,8.4,-1.0,-1.0,-1.0,8.0,8.5,-1.0,-1.0,-1.0
32000052,5.4,6.25,3.8,-1.0,-1.0,-1.0,4.5,5.25,7.0
32000053,8.6,5.75,5.8,9.25,9.0,3.5,-1.0,-1.0,-1.0
32000054,5.2,5.75,8.0,-1.0,-1.0,-1.0,7.25,6.0,8.5
32000055,5.0,7.0,2.6,-1.0,-1.0,-1.0,9.75,8.25,8.5
32000056,8.0,8.25,5.0,-1.0,-1.0,-1.0,8.25,7.25,8.75
32000057,7.6,6.0,3.8,-1.0,-1.0,-1.0,4.75,6.25,7.75
32000058,8.2,9.0,8.8,-1.0,-1.0,-1.0,8.25,8.0,8.5
32000059,6.4,6.5,5.2,6.0,7.25,4.25,-1.0,-1.0,-1.0
32000060,9.0,8.5,-1.0,-1.0,-1.0,-1.0,9.25,8.5,-1.0
32000061,3.6,6.0,2.2,-1.0,-1.0,-1.0,3.5,4.75,6.25
32000062,5.0,6.5,4.2,-1.0,-1.0,-1.0,6.75,6.0,8.25
32000063,7.6,-1.0,-1.0,8.5,7.5,3.25,-1.0,-1.0,-1.0
32000064,5.4,6.58,3.0,-1.0,-1.0,-1.0,5.25,5.75,7.5
32000065,3.4,5.75,-1.0,-1.0,-1.0,-1.0,4.75,7.0,-1.0
32000066,5.2,6.5,1.8,-1.0,-1.0,-1.0,7.0,4.75,7.5
32000067,6.8,7.5,7.4,-1.0,-1.0,-1.0,6.25,7.0,8.0
32000068,3.8,4.0,-1.0,-1.0,-1.0,-1.0,3.25,5.75,-1.0
