ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
36000001,3.8,3.5,3.8,-1.0,-1.0,-1.0,5.75,6.25,6.25
36000002,8.4,5.5,4.6,5.25,8.75,7.75,-1.0,-1.0,-1.0
36000003,8.6,6.0,8.4,8.75,6.25,4.5,-1.0,-1.0,-1.0
36000004,3.6,4.0,4.4,-1.0,-1.0,-1.0,6.25,7.5,9.0
36000005,8.2,5.5,7.0,7.25,4.25,3.5,-1.0,-1.0,-1.0
36000006,4.8,4.5,3.4,-1.0,-1.0,-1.0,5.75,5.5,8.75
36000007,8.6,8.0,5.4,6.75,8.5,8.0,-1.0,-1.0,-1.0
36000008,7.0,7.75,5.4,-1.0,-1.0,-1.0,9.5,9.25,8.75
36000009,7.8,8.5,9.0,-1.0,-1.0,-1.0,8.5,8.0,9.0
36000010,8.0,7.0,9.2,6.75,5.5,4.5,-1.0,-1.0,-1.0
36000011,5.2,3.0,3.0,-1.0,-1.0,-1.0,5.75,5.5,7.25
36000012,8.2,5.75,6.8,6.25,8.0,8.0,-1.0,-1.0,-1.0
36000013,8.4,8.5,9.0,-1.0,-1.0,-1.0,7.5,8.0,8.5
36000014,8.0,7.5,9.4,6.25,6.75,7.0,-1.0,-1.0,-1.0
36000015,5.0,5.25,4.6,-1.0,-1.0,-1.0,5.0,9.0,6.75
36000016,4.8,5.0,5.0,-1.0,-1.0,-1.0,6.5,8.25,7.75
36000017,5.2,5.75,5.2,-1.0,-1.0,-1.0,5.75,6.75,9.0
36000018,6.8,7.0,4.8,-1.0,-1.0,-1.0,7.0,7.25,9.5
36000019,7.0,7.25,8.4,-1.0,-1.0,-1.0,7.5,8.25,8.5
36000020,8.6,6.75,8.6,7.75,7.25,5.5,-1.0,-1.0,-1.0
36000021,7.6,7.0,6.4,-1.0,-1.0,-1.0,8.25,8.5,9.75
36000022,8.4,6.25,8.6,8.5,8.0,7.25,-1.0,-1.0,-1.0
36000023,4.6,1.25,-1.0,-1.0,-1.0,-1.0,4.5,7.5,-1.0
36000024,8.6,3.5,6.2,7.5,6.0,3.5,-1.0,-1.0,-1.0
36000025,8.4,5.75,9.2,8.5,7.75,6.75,-1.0,-1.0,-1.0
36000026,8.8,5.25,7.0,6.75,7.5,4.5,-1.0,-1.0,-1.0
36000027,9.2,7.5,9.4,8.75,7.75,5.25,-1.0,-1.0,-1.0
