ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
24000001,9.0,7.75,8.4,9.5,9.25,6.5,-1.0,-1.0,-1.0
24000002,8.2,8.75,9.6,9.0,6.75,6.0,-1.0,-1.0,-1.0
24000003,8.0,7.5,5.0,5.25,8.5,7.75,-1.0,-1.0,-1.0
24000004,7.6,9.0,8.0,-1.0,-1.0,-1.0,9.0,7.75,9.5
24000005,8.4,9.5,9.0,7.25,7.0,5.25,-1.0,-1.0,-1.0
24000006,8.4,7.25,7.4,9.25,8.25,4.0,-1.0,-1.0,-1.0
24000007,7.8,8.5,8.8,-1.0,-1.0,-1.0,7.0,6.25,7.5
24000008,8.2,9.5,9.0,-1.0,-1.0,-1.0,8.25,9.0,9.25
24000009,8.2,9.0,9.6,-1.0,-1.0,-1.0,8.25,7.0,7.75
24000010,8.8,8.0,6.2,5.75,8.75,8.25,-1.0,-1.0,-1.0
24000011,9.2,8.75,8.0,-1.0,-1.0,-1.0,6.25,6.75,9.5
24000012,8.4,8.5,-1.0,8.0,8.5,7.0,-1.0,-1.0,-1.0
24000013,7.8,9.0,8.8,5.25,7.75,4.75,-1.0,-1.0,-1.0
24000014,9.0,9.0,9.4,-1.0,-1.0,-1.0,8.75,8.75,9.0
24000015,8.8,7.75,6.0,9.0,8.75,5.0,-1.0,-1.0,-1.0
24000016,8.6,6.75,5.6,7.75,7.75,3.75,-1.0,-1.0,-1.0
24000017,9.2,7.0,6.6,8.75,8.25,6.5,-1.0,-1.0,-1.0
24000018,7.4,9.0,8.8,-1.0,-1.0,-1.0,8.75,7.25,8.25
24000019,8.4,9.0,9.2,-1.0,-1.0,-1.0,7.5,7.75,9.75
24000020,7.8,9.25,7.4,-1.0,-1.0,-1.0,9.5,9.25,8.75
24000021,8.2,9.5,9.6,-1.0,-1.0,-1.0,7.25,7.75,9.0
24000022,8.8,8.5,6.2,9.5,9.0,3.75,-1.0,-1.0,-1.0
24000023,8.2,9.0,9.0,-1.0,-1.0,-1.0,8.75,8.25,8.0
24000024,9.0,8.25,7.6,8.5,8.25,4.75,-1.0,-1.0,-1.0
24000025,8.2,8.5,9.6,-1.0,-1.0,-1.0,7.5,8.5,8.75
24000026,8.6,9.0,9.6,-1.0,-1.0,-1.0,10.0,8.75,9.5
24000027,8.2,8.5,8.2,-1.0,-1.0,-1.0,6.0,6.75,7.25
24000028,9.0,9.0,9.8,-1.0,-1.0,-1.0,10.0,9.25,9.0
24000029,8.0,9.25,9.4,-1.0,-1.0,-1.0,9.25,8.0,9.25
24000030,8.4,9.0,9.8,-1.0,-1.0,-1.0,9.75,9.0,9.25
24000031,7.2,8.75,9.0,-1.0,-1.0,-1.0,5.0,7.0,7.75
24000032,9.0,7.75,8.2,8.5,4.0,6.5,-1.0,-1.0,-1.0
24000033,7.8,6.0,7.0,6.5,6.25,3.0,-1.0,-1.0,-1.0
24000034,8.2,8.0,7.2,7.5,5.5,6.5,-1.0,-1.0,-1.0
24000035,8.4,9.25,5.0,8.75,8.25,6.0,-1.0,-1.0,-1.0
24000036,8.0,-1.0,-1.0,7.75,7.75,6.25,-1.0,-1.0,-1.0
24000037,9.4,7.5,8.6,9.25,9.0,7.5,-1.0,-1.0,-1.0
24000038,8.4,7.0,8.4,6.75,5.75,5.75,-1.0,-1.0,-1.0
24000039,6.0,8.25,4.0,-1.0,-1.0,-1.0,9.25,9.25,8.25
24000040,8.4,9.5,10.0,-1.0,-1.0,-1.0,9.25,9.25,9.0
24000041,5.2,8.75,2.0,-1.0,-1.0,-1.0,8.75,8.75,8.0
24000042,7.8,9.5,8.2,-1.0,-1.0,-1.0,8.25,7.75,9.0
24000043,8.8,6.25,8.6,9.0,6.0,4.5,-1.0,-1.0,-1.0
24000044,8.4,7.0,4.6,7.75,8.5,5.25,-1.0,-1.0,-1.0
24000045,8.0,9.0,7.2,-1.0,-1.0,-1.0,6.75,6.0,8.5
24000046,7.8,8.0,7.2,-1.0,-1.0,-1.0,7.25,8.0,8.5
24000047,7.4,8.0,-1.0,4.5,6.0,5.0,-1.0,-1.0,-1.0
24000048,9.0,7.25,4.2,8.75,5.5,3.5,-1.0,-1.0,-1.0
24000049,9.2,9.25,6.0,-1.0,-1.0,-1.0,7.5,6.5,8.5
24000050,8.6,8.75,8.8,-1.0,-1.0,-1.0,7.0,7.75,8.25
24000051,6.6,8.0,5.4,5.75,8.25,7.75,-1.0,-1.0,-1.0
