ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
53000001,7.2,8.25,6.0,-1.0,-1.0,-1.0,5.75,7.75,9.0
53000002,7.4,7.25,4.2,-1.0,-1.0,-1.0,7.0,6.0,8.25
53000003,7.2,8.5,7.6,-1.0,-1.0,-1.0,8.25,7.5,8.5
53000004,6.0,7.75,5.2,4.75,4.25,4.5,-1.0,-1.0,-1.0
53000005,4.8,6.75,6.6,-1.0,-1.0,-1.0,8.0,7.0,8.0
53000006,8.2,7.75,5.0,-1.0,-1.0,-1.0,8.25,8.25,9.25
53000007,7.2,8.0,4.0,-1.0,-1.0,-1.0,7.75,7.75,8.75
53000008,7.8,8.75,7.6,-1.0,-1.0,-1.0,9.0,8.0,9.25
53000009,7.8,8.25,4.0,6.5,6.75,4.5,-1.0,-1.0,-1.0
53000010,7.6,8.75,6.2,-1.0,-1.0,-1.0,8.0,7.75,9.0
53000011,6.4,7.75,5.4,-1.0,-1.0,-1.0,7.75,6.5,8.75
53000012,7.2,6.5,3.8,4.5,7.0,4.5,-1.0,-1.0,-1.0
53000013,8.0,8.08,7.2,5.0,6.75,3.0,-1.0,-1.0,-1.0
53000014,7.0,7.5,5.6,-1.0,-1.0,-1.0,6.25,6.25,7.25
53000015,7.2,8.5,7.8,5.0,3.5,4.75,-1.0,-1.0,-1.0
53000016,8.0,7.25,8.2,8.25,6.75,5.0,-1.0,-1.0,-1.0
53000017,7.8,7.75,7.6,8.5,8.75,6.75,-1.0,-1.0,-1.0
53000018,6.2,8.25,3.6,-1.0,-1.0,-1.0,7.75,7.25,9.0
53000019,4.0,7.75,4.6,-1.0,-1.0,-1.0,6.75,5.75,5.5
53000020,7.4,8.5,5.8,-1.0,-1.0,-1.0,8.0,7.5,9.5
53000021,7.2,9.25,4.4,7.25,6.75,5.5,-1.0,-1.0,-1.0
53000022,7.4,9.5,7.6,-1.0,-1.0,-1.0,6.75,7.25,9.5
53000023,5.8,7.5,6.6,-1.0,-1.0,-1.0,5.25,5.25,8.25
53000024,8.0,8.25,6.6,-1.0,-1.0,-1.0,7.0,7.0,8.75
53000025,7.6,7.5,7.8,6.5,8.5,8.25,-1.0,-1.0,-1.0
53000026,4.8,7.0,7.0,-1.0,-1.0,-1.0,6.0,6.75,8.25
53000027,5.0,7.25,4.2,-1.0,-1.0,-1.0,4.75,6.5,7.25
53000028,7.2,6.0,6.4,6.75,7.25,4.0,-1.0,-1.0,-1.0
53000029,7.2,7.0,3.2,4.5,4.75,4.0,-1.0,-1.0,-1.0
