ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
35000001,5.8,5.75,2.8,-1.0,-1.0,-1.0,3.5,5.75,6.75
35000002,7.4,5.75,3.8,4.0,5.25,3.0,-1.0,-1.0,-1.0
35000003,6.6,8.5,4.8,-1.0,-1.0,-1.0,9.5,9.0,8.25
35000004,8.2,7.5,5.6,7.5,8.5,4.75,-1.0,-1.0,-1.0
35000005,6.8,7.75,3.8,5.75,5.75,2.75,-1.0,-1.0,-1.0
35000006,7.6,7.0,3.4,6.75,7.25,4.0,-1.0,-1.0,-1.0
35000007,7.4,5.0,2.0,5.0,7.0,3.0,-1.0,-1.0,-1.0
35000008,8.4,5.5,4.4,3.5,8.25,8.0,-1.0,-1.0,-1.0
35000009,5.8,8.0,5.2,-1.0,-1.0,-1.0,6.5,6.75,7.0
35000010,5.6,5.0,3.0,-1.0,-1.0,-1.0,3.5,4.25,8.75
35000011,7.2,5.25,6.4,-1.0,-1.0,-1.0,3.0,7.25,8.75
35000012,9.0,7.25,5.8,8.75,8.5,3.75,-1.0,-1.0,-1.0
35000013,7.0,7.0,-1.0,-1.0,-1.0,-1.0,7.0,6.0,-1.0
35000014,5.8,4.0,-1.0,-1.0,-1.0,-1.0,3.25,5.25,-1.0
35000015,7.8,6.25,4.2,4.25,7.25,6.75,-1.0,-1.0,-1.0
35000016,6.0,6.0,5.2,-1.0,-1.0,-1.0,5.0,5.25,6.25
35000017,6.0,3.75,-1.0,-1.0,-1.0,-1.0,4.25,5.5,-1.0
35000018,8.0,5.25,5.6,7.25,7.5,3.25,-1.0,-1.0,-1.0
35000019,8.0,6.08,4.6,7.25,8.0,3.0,-1.0,-1.0,-1.0
35000020,6.2,6.5,3.4,-1.0,-1.0,-1.0,5.75,6.0,6.25
35000021,6.4,5.0,-1.0,-1.0,-1.0,-1.0,4.5,5.5,-1.0
35000022,8.4,7.5,3.6,5.5,7.5,6.5,-1.0,-1.0,-1.0
35000023,8.8,7.25,7.2,9.0,7.25,5.0,-1.0,-1.0,-1.0
