ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
54000001,6.0,5.5,5.2,-1.0,-1.0,-1.0,5.75,6.5,5.75
54000002,6.8,6.25,4.0,-1.0,-1.0,-1.0,7.5,7.25,7.25
54000003,8.2,6.5,4.8,5.5,7.0,7.25,-1.0,-1.0,-1.0
54000004,2.0,5.0,3.6,-1.0,-1.0,-1.0,5.25,6.0,7.25
54000005,5.8,5.75,3.2,-1.0,-1.0,-1.0,5.0,4.5,7.25
54000006,3.2,6.5,2.6,-1.0,-1.0,-1.0,5.5,5.0,6.75
54000007,6.2,5.0,4.2,-1.0,-1.0,-1.0,7.0,5.5,6.25
54000008,4.6,5.75,2.4,-1.0,-1.0,-1.0,3.75,4.5,5.75
54000009,4.8,5.0,3.6,-1.0,-1.0,-1.0,6.0,5.25,7.75
54000010,4.2,6.75,4.6,-1.0,-1.0,-1.0,6.5,7.5,8.25
54000011,6.8,6.5,6.4,-1.0,-1.0,-1.0,7.5,8.25,8.25
54000012,4.8,4.25,2.2,-1.0,-1.0,-1.0,3.0,3.5,6.75
54000013,6.0,8.25,4.2,-1.0,-1.0,-1.0,6.5,5.75,8.75
54000014,3.2,3.0,3.4,-1.0,-1.0,-1.0,6.0,6.0,3.5
54000015,5.8,5.5,5.0,-1.0,-1.0,-1.0,4.75,5.25,6.75
54000016,6.6,7.5,5.6,-1.0,-1.0,-1.0,5.5,6.5,9.25
54000017,1.6,6.5,2.6,-1.0,-1.0,-1.0,4.5,5.25,8.25
54000018,7.4,6.75,4.4,6.0,6.25,5.25,-1.0,-1.0,-1.0
54000019,6.0,5.75,4.2,-1.0,-1.0,-1.0,5.5,5.5,8.5
54000020,4.4,6.25,3.6,-1.0,-1.0,-1.0,5.0,5.5,5.5
54000021,5.6,5.5,3.6,-1.0,-1.0,-1.0,3.0,6.25,8.25
54000022,8.0,6.5,4.4,-1.0,-1.0,-1.0,7.5,8.25,8.0
54000023,7.4,7.0,4.4,6.0,7.5,5.0,-1.0,-1.0,-1.0
54000024,7.0,6.25,5.4,-1.0,-1.0,-1.0,8.25,8.5,9.0
54000025,7.2,7.0,4.6,-1.0,-1.0,-1.0,5.0,6.75,8.5
54000026,7.0,5.0,3.8,-1.0,-1.0,-1.0,7.25,8.75,8.5
54000027,4.0,5.75,3.0,-1.0,-1.0,-1.0,6.75,6.25,8.25
54000028,3.4,4.0,2.4,-1.0,-1.0,-1.0,2.75,4.5,5.0
54000029,5.6,5.5,3.0,-1.0,-1.0,-1.0,6.5,6.75,8.25
54000030,5.4,5.25,3.8,-1.0,-1.0,-1.0,4.25,5.75,8.0
54000031,6.4,5.75,5.6,-1.0,-1.0,-1.0,8.25,7.5,9.0
54000032,6.0,5.0,4.0,-1.0,-1.0,-1.0,4.0,6.5,8.5
54000033,8.4,5.5,7.0,6.0,5.25,4.75,-1.0,-1.0,-1.0
54000034,3.2,4.5,3.4,-1.0,-1.0,-1.0,6.25,6.25,6.5
54000035,8.0,7.0,4.2,8.5,7.5,4.5,-1.0,-1.0,-1.0
54000036,7.2,7.75,3.2,5.0,6.25,3.75,-1.0,-1.0,-1.0
54000037,7.2,5.25,3.2,-1.0,-1.0,-1.0,6.75,5.75,6.5
54000038,7.4,8.0,4.8,6.5,7.0,5.5,-1.0,-1.0,-1.0
54000039,4.2,5.5,3.2,-1.0,-1.0,-1.0,6.0,6.25,7.0
54000040,7.0,6.25,3.2,-1.0,-1.0,-1.0,7.25,6.5,8.75
54000041,8.2,6.0,6.2,-1.0,-1.0,-1.0,6.0,6.5,8.75
54000042,4.6,5.75,2.6,-1.0,-1.0,-1.0,6.25,7.25,7.75
54000043,8.0,7.5,4.8,-1.0,-1.0,-1.0,7.75,8.0,9.75
54000044,2.6,3.25,1.2,-1.0,-1.0,-1.0,3.75,5.25,4.5
