ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
17000001,6.2,7.75,3.0,-1.0,-1.0,-1.0,7.0,6.5,7.0
17000002,5.4,6.5,3.4,-1.0,-1.0,-1.0,6.0,5.75,6.5
17000003,3.2,5.75,3.6,-1.0,-1.0,-1.0,6.25,5.75,8.0
17000004,1.6,3.75,3.6,-1.0,-1.0,-1.0,8.0,4.75,5.5
17000005,3.2,4.25,2.6,-1.0,-1.0,-1.0,2.0,3.5,3.0
17000006,5.6,6.5,7.0,-1.0,-1.0,-1.0,6.5,5.5,8.75
17000007,4.0,6.0,6.0,-1.0,-1.0,-1.0,7.0,6.25,7.5
17000008,3.8,6.25,7.2,-1.0,-1.0,-1.0,6.0,8.0,8.25
17000009,3.0,6.0,2.6,-1.0,-1.0,-1.0,3.75,7.25,7.5
17000010,1.6,5.75,5.0,-1.0,-1.0,-1.0,5.0,6.25,6.75
17000011,7.0,5.5,5.6,-1.0,-1.0,-1.0,6.25,6.0,7.75
17000012,6.0,6.75,6.2,-1.0,-1.0,-1.0,8.5,7.5,7.75
17000013,1.6,4.0,3.6,-1.0,-1.0,-1.0,7.0,6.5,7.0
17000014,4.0,4.75,5.6,-1.0,-1.0,-1.0,5.25,6.5,8.0
17000015,2.6,4.5,3.8,-1.0,-1.0,-1.0,4.75,5.75,6.0
17000016,3.8,6.0,6.0,-1.0,-1.0,-1.0,4.5,4.75,5.0
17000017,6.2,6.0,6.6,-1.0,-1.0,-1.0,6.25,5.5,7.0
17000018,5.4,7.25,6.4,-1.0,-1.0,-1.0,5.5,6.5,8.5
17000019,2.0,7.0,3.8,-1.0,-1.0,-1.0,6.25,6.75,7.25
17000020,3.4,5.5,4.0,-1.0,-1.0,-1.0,4.75,4.5,6.5
17000021,6.2,8.75,8.8,3.0,5.25,2.0,-1.0,-1.0,-1.0
17000022,3.8,5.5,6.0,-1.0,-1.0,-1.0,6.0,5.75,6.5
17000023,4.4,6.5,5.4,-1.0,-1.0,-1.0,4.5,6.75,6.75
17000024,4.2,7.5,5.8,-1.0,-1.0,-1.0,7.0,6.75,7.0
17000025,2.6,6.75,4.0,-1.0,-1.0,-1.0,6.5,6.25,8.25
17000026,3.4,7.5,6.2,-1.0,-1.0,-1.0,5.0,4.5,7.25
17000027,5.4,6.5,3.8,-1.0,-1.0,-1.0,6.0,5.0,7.75
17000028,5.2,6.5,-1.0,-1.0,-1.0,-1.0,5.5,6.0,8.0
17000029,3.8,6.5,4.8,-1.0,-1.0,-1.0,4.5,4.5,7.25
17000030,4.2,4.0,2.6,-1.0,-1.0,-1.0,6.5,5.5,8.25
17000031,4.0,3.5,4.2,-1.0,-1.0,-1.0,3.75,4.75,5.0
17000032,5.0,5.0,3.4,-1.0,-1.0,-1.0,4.0,4.5,6.25
17000033,5.8,6.0,4.2,2.0,5.0,3.5,-1.0,-1.0,-1.0
17000034,6.8,4.5,3.0,-1.0,-1.0,-1.0,5.5,5.75,8.5
17000035,5.0,5.5,4.6,-1.0,-1.0,-1.0,5.75,6.75,7.5
17000036,5.6,6.5,6.0,-1.0,-1.0,-1.0,7.5,8.0,9.0
17000037,1.4,5.25,-1.0,-1.0,-1.0,-1.0,5.0,6.0,8.25
17000038,5.2,6.25,-1.0,-1.0,-1.0,-1.0,8.25,8.0,8.75
17000039,4.2,4.75,2.2,-1.0,-1.0,-1.0,6.25,6.0,5.25
17000040,2.6,2.75,2.4,-1.0,-1.0,-1.0,4.25,3.0,3.0
17000041,5.2,4.75,2.0,-1.0,-1.0,-1.0,5.75,6.0,6.5
17000042,3.6,2.5,3.2,-1.0,-1.0,-1.0,5.75,5.0,6.75
17000043,4.8,5.5,4.4,-1.0,-1.0,-1.0,6.5,6.25,7.5
17000044,5.4,6.5,7.6,-1.0,-1.0,-1.0,7.75,7.0,7.75
17000045,3.2,5.75,7.6,-1.0,-1.0,-1.0,5.75,6.25,5.75
17000046,2.0,4.5,2.0,-1.0,-1.0,-1.0,4.25,5.25,7.25
17000047,4.0,6.0,3.0,-1.0,-1.0,-1.0,6.0,6.75,7.25
17000048,2.8,4.75,5.8,-1.0,-1.0,-1.0,5.75,6.5,7.75
17000049,6.2,5.25,6.0,-1.0,-1.0,-1.0,7.0,7.5,8.5
17000050,4.8,4.75,3.0,-1.0,-1.0,-1.0,3.0,5.5,6.25
17000051,3.4,2.25,1.6,-1.0,-1.0,-1.0,6.25,6.5,6.5
17000052,3.4,6.0,2.4,-1.0,-1.0,-1.0,7.0,7.75,7.75
17000053,2.2,3.0,3.0,-1.0,-1.0,-1.0,4.75,5.25,7.0
17000054,6.2,5.58,4.0,-1.0,-1.0,-1.0,7.25,6.75,5.5
17000055,6.2,7.75,3.6,-1.0,-1.0,-1.0,7.0,8.0,8.25
17000056,4.4,4.5,3.4,-1.0,-1.0,-1.0,7.0,7.0,7.0
17000057,2.2,3.5,3.4,-1.0,-1.0,-1.0,3.5,5.0,3.0
17000058,3.8,4.5,6.4,-1.0,-1.0,-1.0,5.25,5.25,5.75
17000059,2.2,5.5,3.4,-1.0,-1.0,-1.0,5.25,2.75,5.0
17000060,3.2,5.25,2.4,-1.0,-1.0,-1.0,4.25,5.25,5.0
17000061,2.4,3.25,1.6,-1.0,-1.0,-1.0,4.75,5.5,7.25
17000062,3.0,4.25,2.8,-1.0,-1.0,-1.0,6.75,6.0,8.0
17000063,3.2,4.0,2.8,-1.0,-1.0,-1.0,6.0,5.5,6.25
17000064,3.0,4.5,3.2,-1.0,-1.0,-1.0,6.5,6.25,6.25
17000065,3.8,4.0,2.8,-1.0,-1.0,-1.0,5.75,6.75,6.25
17000066,6.8,6.75,5.2,-1.0,-1.0,-1.0,7.75,7.5,9.25
17000067,2.0,3.0,2.8,-1.0,-1.0,-1.0,2.25,4.25,4.5
17000068,3.0,4.75,6.0,-1.0,-1.0,-1.0,6.25,6.75,7.25
17000069,3.4,4.5,2.8,-1.0,-1.0,-1.0,4.0,4.25,6.0
17000070,3.0,2.5,2.4,-1.0,-1.0,-1.0,3.25,5.75,4.75
17000071,4.6,3.5,5.2,-1.0,-1.0,-1.0,6.0,6.75,8.75
17000072,4.0,2.5,2.8,-1.0,-1.0,-1.0,4.25,5.5,7.25
17000073,8.2,5.0,3.4,-1.0,-1.0,-1.0,7.0,7.0,8.25
17000074,6.0,3.25,4.2,-1.0,-1.0,-1.0,6.75,6.0,7.25
17000075,4.6,5.25,3.2,-1.0,-1.0,-1.0,7.5,7.0,7.75
17000076,2.2,4.25,3.6,-1.0,-1.0,-1.0,3.75,5.5,6.0
17000077,3.4,5.25,3.2,-1.0,-1.0,-1.0,5.75,6.25,8.5
17000078,2.2,3.0,3.4,-1.0,-1.0,-1.0,6.75,6.5,5.5
17000079,4.4,4.75,4.4,-1.0,-1.0,-1.0,4.5,5.5,7.0
17000080,3.2,6.25,1.8,-1.0,-1.0,-1.0,6.0,6.5,8.5
17000081,2.2,3.75,3.4,-1.0,-1.0,-1.0,3.75,4.75,6.0
17000082,2.6,5.0,3.4,-1.0,-1.0,-1.0,4.0,4.75,6.25
17000083,3.8,5.75,2.4,-1.0,-1.0,-1.0,4.25,6.0,7.5
17000084,2.6,4.0,4.0,-1.0,-1.0,-1.0,4.25,6.0,6.75
17000085,7.6,6.25,4.0,-1.0,-1.0,-1.0,8.25,6.75,9.0
17000086,4.2,6.0,4.0,-1.0,-1.0,-1.0,4.75,4.75,7.0
17000087,4.6,5.5,3.2,-1.0,-1.0,-1.0,2.75,5.25,5.0
17000088,3.2,5.5,6.2,-1.0,-1.0,-1.0,4.0,5.0,7.0
17000089,5.6,7.25,5.0,-1.0,-1.0,-1.0,6.0,7.0,8.25
17000090,3.6,3.0,2.6,-1.0,-1.0,-1.0,3.0,7.0,7.25
17000091,5.6,6.75,5.2,-1.0,-1.0,-1.0,6.0,6.5,8.25
