ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
07000001,6.8,5.5,2.8,6.75,4.0,3.75,-1.0,-1.0,-1.0
07000002,8.4,4.75,9.0,7.5,3.0,3.5,-1.0,-1.0,-1.0
07000003,6.2,7.0,3.4,-1.0,-1.0,-1.0,7.5,7.25,8.0
07000004,7.8,7.0,7.2,-1.0,-1.0,-1.0,8.25,6.5,7.75
07000005,7.8,7.5,7.4,8.25,8.25,7.25,-1.0,-1.0,-1.0
07000006,7.0,4.75,3.2,6.0,7.5,4.75,-1.0,-1.0,-1.0
07000007,8.4,4.0,9.4,8.0,3.5,5.75,-1.0,-1.0,-1.0
07000008,7.2,5.75,5.2,6.75,4.25,3.25,-1.0,-1.0,-1.0
07000009,7.4,6.0,5.4,-1.0,-1.0,-1.0,9.0,8.0,9.25
07000010,4.6,4.0,2.6,-1.0,-1.0,-1.0,6.0,6.5,6.5
07000011,9.0,-1.0,-1.0,9.0,9.0,4.25,-1.0,-1.0,-1.0
07000012,8.2,5.25,3.4,6.0,8.25,5.75,-1.0,-1.0,-1.0
07000013,6.6,6.25,3.6,-1.0,-1.0,-1.0,7.25,8.0,7.5
07000014,8.6,6.75,9.0,7.25,7.0,6.0,-1.0,-1.0,-1.0
07000015,7.8,4.0,4.8,6.0,7.25,5.25,-1.0,-1.0,-1.0
07000016,-1.0,6.5,-1.0,-1.0,-1.0,-1.0,9.5,8.75,-1.0
07000017,4.6,7.25,3.4,-1.0,-1.0,-1.0,9.25,9.25,7.75
07000018,5.6,6.0,5.6,-1.0,-1.0,-1.0,5.5,6.75,7.5
07000019,6.2,5.5,3.4,4.25,4.25,3.5,-1.0,-1.0,-1.0
07000020,5.0,6.25,3.8,6.5,4.5,3.5,-1.0,-1.0,-1.0
07000021,7.8,4.0,2.0,9.0,8.25,5.0,-1.0,-1.0,-1.0
07000022,7.6,4.75,7.0,7.5,4.25,3.25,-1.0,-1.0,-1.0
07000023,8.2,7.25,4.6,6.0,7.25,4.5,-1.0,-1.0,-1.0
07000024,8.0,7.5,6.2,-1.0,-1.0,-1.0,5.0,7.75,8.5
07000025,6.6,6.5,3.6,-1.0,-1.0,-1.0,3.5,6.0,6.5
