ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
26000001,8.0,4.75,-1.0,3.25,6.25,3.5,-1.0,-1.0,-1.0
26000002,4.2,6.75,-1.0,-1.0,-1.0,-1.0,5.75,6.0,-1.0
26000003,6.6,4.25,-1.0,-1.0,-1.0,-1.0,6.5,5.25,-1.0
26000004,8.0,8.0,8.6,-1.0,-1.0,-1.0,6.75,7.75,8.75
26000005,8.8,6.75,9.4,9.0,7.5,7.75,-1.0,-1.0,-1.0
26000006,7.8,6.75,-1.0,-1.0,-1.0,-1.0,9.5,8.5,-1.0
26000007,7.0,6.25,-1.0,-1.0,-1.0,-1.0,6.75,6.0,-1.0
26000008,7.8,5.25,7.0,6.0,4.0,5.25,-1.0,-1.0,-1.0
26000009,8.2,6.5,8.8,8.25,6.75,6.25,-1.0,-1.0,-1.0
26000010,5.2,8.75,7.6,-1.0,-1.0,-1.0,9.5,8.75,8.75
26000011,8.2,8.0,8.8,-1.0,-1.0,-1.0,8.5,9.5,9.25
26000012,8.6,7.75,9.2,-1.0,-1.0,-1.0,8.25,6.75,9.0
26000013,8.8,5.5,5.2,9.0,9.5,3.75,-1.0,-1.0,-1.0
26000014,8.8,6.5,-1.0,8.75,8.75,5.75,-1.0,-1.0,-1.0
26000015,9.2,8.25,9.6,-1.0,-1.0,-1.0,7.75,6.25,8.75
26000016,8.4,8.5,9.2,-1.0,-1.0,-1.0,9.0,8.25,9.25
26000017,8.2,8.5,6.0,-1.0,-1.0,-1.0,7.75,8.0,8.0
26000018,5.4,7.75,-1.0,-1.0,-1.0,-1.0,7.5,5.5,-1.0
26000019,5.0,8.5,-1.0,-1.0,-1.0,-1.0,6.75,6.5,-1.0
26000020,3.0,7.25,-1.0,-1.0,-1.0,-1.0,5.0,5.5,-1.0
26000021,8.2,7.25,6.6,7.5,7.5,4.0,-1.0,-1.0,-1.0
26000022,5.8,4.25,-1.0,-1.0,-1.0,-1.0,5.0,5.5,-1.0
26000023,8.8,6.25,8.2,3.5,9.0,8.5,-1.0,-1.0,-1.0
26000024,8.0,9.0,9.8,-1.0,-1.0,-1.0,10.0,8.0,10.0
26000025,8.8,7.5,7.4,8.0,8.5,8.75,-1.0,-1.0,-1.0
26000026,7.4,7.75,4.8,-1.0,-1.0,-1.0,7.5,8.25,8.25
26000027,8.8,7.75,9.0,9.25,6.25,5.5,-1.0,-1.0,-1.0
26000028,8.0,8.5,9.4,-1.0,-1.0,-1.0,7.0,6.75,8.0
26000029,8.2,6.5,7.0,7.0,9.0,4.75,-1.0,-1.0,-1.0
26000030,8.4,7.75,8.2,6.0,8.75,9.25,-1.0,-1.0,-1.0
26000031,5.0,6.75,-1.0,-1.0,-1.0,-1.0,4.0,4.75,-1.0
26000032,8.2,8.5,8.6,-1.0,-1.0,-1.0,7.5,7.0,9.25
26000033,8.6,8.25,9.6,-1.0,-1.0,-1.0,8.75,8.75,9.0
26000034,8.6,8.0,9.0,-1.0,-1.0,-1.0,9.25,7.5,9.0
26000035,7.2,6.5,-1.0,-1.0,-1.0,-1.0,7.5,7.75,-1.0
26000036,5.2,6.25,-1.0,-1.0,-1.0,-1.0,7.0,6.25,-1.0
26000037,5.6,4.75,-1.0,-1.0,-1.0,-1.0,5.75,6.75,-1.0
26000038,4.0,7.75,-1.0,-1.0,-1.0,-1.0,6.25,5.5,-1.0
26000039,8.4,7.75,5.4,4.5,7.75,8.75,-1.0,-1.0,-1.0
26000040,5.4,5.0,-1.0,-1.0,-1.0,-1.0,6.0,5.75,-1.0
26000041,4.8,4.75,-1.0,-1.0,-1.0,-1.0,4.75,5.0,-1.0
26000042,9.2,6.75,-1.0,8.75,8.25,7.0,-1.0,-1.0,-1.0
26000043,7.8,4.75,-1.0,-1.0,-1.0,-1.0,6.75,6.75,-1.0
26000044,8.8,7.0,8.8,8.0,7.5,5.25,-1.0,-1.0,-1.0
26000045,8.0,8.0,9.0,-1.0,-1.0,-1.0,7.25,6.25,8.25
26000046,8.6,6.5,8.0,9.5,4.25,4.75,-1.0,-1.0,-1.0
26000047,9.0,6.5,9.2,4.75,8.5,4.75,-1.0,-1.0,-1.0
26000048,8.6,6.5,6.4,5.75,8.75,7.75,-1.0,-1.0,-1.0
26000049,8.8,6.0,8.2,9.25,9.25,7.5,-1.0,-1.0,-1.0
26000050,9.0,9.0,8.6,-1.0,-1.0,-1.0,8.75,7.0,8.75
26000051,6.8,7.25,6.0,5.25,9.0,6.0,-1.0,-1.0,-1.0
26000052,8.2,8.5,8.8,-1.0,-1.0,-1.0,8.0,8.75,9.5
26000053,8.6,6.75,9.0,8.0,8.75,5.5,-1.0,-1.0,-1.0
26000054,4.8,3.75,-1.0,-1.0,-1.0,-1.0,3.5,7.0,-1.0
