ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
52000001,7.2,6.75,5.2,5.75,7.25,5.0,-1.0,-1.0,-1.0
52000002,5.2,6.5,-1.0,-1.0,-1.0,-1.0,4.25,6.25,-1.0
52000003,8.4,-1.0,-1.0,-1.0,8.5,7.75,-1.0,-1.0,-1.0
52000004,6.0,5.75,5.8,5.25,6.25,4.75,-1.0,-1.0,-1.0
52000005,6.8,6.5,6.2,6.0,5.25,3.75,-1.0,-1.0,-1.0
52000006,7.8,7.5,4.8,-1.0,-1.0,-1.0,9.25,8.5,8.75
52000007,6.4,7.0,7.6,6.0,7.75,4.0,-1.0,-1.0,-1.0
52000008,7.2,7.25,6.8,8.0,7.5,5.75,-1.0,-1.0,-1.0
52000009,6.8,7.25,6.8,-1.0,-1.0,-1.0,7.75,7.75,8.75
52000010,7.2,6.0,4.0,5.0,6.75,4.5,-1.0,-1.0,-1.0
52000011,8.0,8.5,-1.0,5.75,6.5,4.5,-1.0,-1.0,-1.0
52000012,6.8,7.75,6.6,-1.0,-1.0,-1.0,7.0,7.75,8.75
52000013,6.8,7.25,5.0,6.25,6.75,5.0,-1.0,-1.0,-1.0
52000014,7.4,6.25,7.4,5.0,3.75,2.75,-1.0,-1.0,-1.0
52000015,8.4,6.75,7.6,-1.0,-1.0,-1.0,7.5,6.75,8.75
52000016,6.2,5.75,7.0,6.25,6.5,4.75,-1.0,-1.0,-1.0
52000017,4.8,6.5,6.8,-1.0,-1.0,-1.0,8.0,7.75,8.25
52000018,5.6,7.5,4.4,-1.0,-1.0,-1.0,6.25,5.25,8.5
52000019,7.4,7.0,6.4,-1.0,-1.0,-1.0,7.0,6.75,7.25
52000020,4.8,6.25,-1.0,-1.0,-1.0,-1.0,4.75,4.75,-1.0
52000021,6.4,6.5,3.6,-1.0,-1.0,-1.0,5.5,7.25,8.25
52000022,6.4,8.0,6.6,-1.0,-1.0,-1.0,9.25,6.75,9.25
52000023,6.6,5.5,7.2,6.25,4.0,3.25,-1.0,-1.0,-1.0
52000024,5.0,4.5,-1.0,-1.0,-1.0,-1.0,2.75,5.0,-1.0
52000025,7.4,8.25,8.0,-1.0,-1.0,-1.0,6.5,6.75,9.0
52000026,6.8,6.0,-1.0,-1.0,-1.0,-1.0,5.75,5.5,-1.0
52000027,6.8,7.25,5.8,5.25,7.0,3.5,-1.0,-1.0,-1.0
52000028,7.6,7.25,4.8,7.0,4.25,5.0,-1.0,-1.0,-1.0
52000029,7.6,7.25,7.2,7.25,7.5,6.5,-1.0,-1.0,-1.0
52000030,7.0,6.25,5.0,6.75,6.5,4.25,-1.0,-1.0,-1.0
52000031,8.2,-1.0,8.2,8.0,4.5,-1.0,-1.0,-1.0,-1.0
52000032,7.0,6.0,6.2,-1.0,-1.0,-1.0,5.75,5.5,9.0
52000033,7.4,6.0,5.6,6.25,7.75,3.75,-1.0,-1.0,-1.0
52000034,7.6,8.25,7.0,6.0,7.5,6.0,-1.0,-1.0,-1.0
52000035,8.6,7.25,7.4,7.0,7.75,4.25,-1.0,-1.0,-1.0
52000036,8.0,7.75,6.0,6.5,5.75,4.25,-1.0,-1.0,-1.0
52000037,6.8,7.0,6.0,5.75,5.75,4.0,-1.0,-1.0,-1.0
52000038,8.4,-1.0,6.4,8.25,8.0,4.5,-1.0,-1.0,-1.0
52000039,7.8,8.0,4.2,-1.0,-1.0,-1.0,8.25,8.25,9.25
52000040,7.0,5.5,4.8,3.75,3.5,5.0,-1.0,-1.0,-1.0
52000041,6.0,6.5,6.4,4.75,4.0,3.75,-1.0,-1.0,-1.0
52000042,8.0,7.0,7.0,7.25,7.75,6.25,-1.0,-1.0,-1.0
52000043,7.2,6.75,5.8,6.25,4.25,3.75,-1.0,-1.0,-1.0
52000044,7.4,5.25,7.0,6.5,5.5,3.75,-1.0,-1.0,-1.0
52000045,5.8,6.5,7.4,-1.0,-1.0,-1.0,4.25,6.25,7.25
52000046,7.2,7.75,9.2,-1.0,-1.0,-1.0,6.25,7.5,8.0
52000047,6.8,6.0,3.6,3.75,4.25,3.25,-1.0,-1.0,-1.0
52000048,6.4,6.5,2.6,-1.0,-1.0,-1.0,4.5,5.75,7.5
52000049,5.4,6.0,5.4,5.25,6.25,3.5,-1.0,-1.0,-1.0
52000050,7.8,7.5,6.0,-1.0,-1.0,-1.0,4.25,6.0,8.0
52000051,6.0,6.0,4.2,-1.0,-1.0,-1.0,4.75,5.75,6.5
52000052,8.4,-1.0,-1.0,-1.0,8.5,8.0,-1.0,-1.0,-1.0
52000053,6.6,6.0,5.0,-1.0,-1.0,-1.0,6.25,6.5,7.5
52000054,7.4,6.75,4.0,-1.0,-1.0,-1.0,4.75,7.75,7.75
52000055,8.8,-1.0,-1.0,5.5,8.25,8.5,-1.0,-1.0,-1.0
52000056,7.6,7.0,-1.0,-1.0,-1.0,-1.0,4.25,7.0,-1.0
52000057,7.4,6.25,5.8,5.25,5.25,3.25,-1.0,-1.0,-1.0
52000058,8.2,8.25,9.0,-1.0,8.75,-1.0,-1.0,-1.0,-1.0
52000059,7.0,7.5,5.8,-1.0,-1.0,-1.0,7.25,7.5,8.5
52000060,7.2,7.5,7.6,-1.0,-1.0,-1.0,6.5,6.75,9.0
52000061,5.6,6.5,5.8,5.75,5.0,3.25,-1.0,-1.0,-1.0
