ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
10000001,5.2,5.0,-1.0,-1.0,-1.0,-1.0,5.0,5.25,-1.0
10000002,9.2,6.5,8.6,7.5,6.75,8.25,-1.0,-1.0,-1.0
10000003,9.0,7.75,8.2,6.75,6.0,3.75,-1.0,-1.0,-1.0
10000004,8.8,8.5,9.0,6.75,9.0,8.75,-1.0,-1.0,-1.0
10000005,8.0,9.0,8.2,-1.0,-1.0,-1.0,9.75,8.75,8.25
10000006,8.6,6.0,7.6,4.75,7.5,8.25,-1.0,-1.0,-1.0
10000007,8.6,7.0,9.4,8.5,5.75,5.75,-1.0,-1.0,-1.0
10000008,9.4,7.75,7.8,8.25,7.0,6.5,-1.0,-1.0,-1.0
10000009,7.6,8.0,7.4,-1.0,-1.0,-1.0,7.75,7.75,8.5
10000010,8.0,5.0,6.0,7.5,7.75,4.25,-1.0,-1.0,-1.0
10000011,8.2,7.75,5.2,7.5,8.5,3.0,-1.0,-1.0,-1.0
10000012,8.0,7.75,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10000013,8.8,8.5,9.4,-1.0,-1.0,-1.0,8.75,8.0,9.5
10000014,8.0,-1.0,-1.0,6.0,7.0,-1.0,-1.0,-1.0,-1.0
10000015,8.0,8.0,4.4,8.25,8.5,5.0,-1.0,-1.0,-1.0
10000016,6.8,8.25,8.4,-1.0,-1.0,-1.0,8.25,7.25,8.75
10000017,5.6,5.25,-1.0,-1.0,-1.0,-1.0,4.75,5.25,-1.0
10000018,8.4,6.75,3.0,5.25,7.5,9.25,-1.0,-1.0,-1.0
10000019,2.8,8.25,-1.0,-1.0,-1.0,-1.0,8.0,8.25,7.25
10000020,8.4,5.0,8.0,8.25,5.25,5.25,-1.0,-1.0,-1.0
10000021,8.0,7.5,4.4,8.25,8.25,4.5,-1.0,-1.0,-1.0
10000022,3.0,3.75,-1.0,-1.0,-1.0,-1.0,4.25,5.0,-1.0
10000023,7.6,7.5,9.2,-1.0,-1.0,-1.0,7.25,8.5,8.75
10000024,4.8,3.75,-1.0,-1.0,-1.0,-1.0,6.25,4.25,-1.0
10000025,6.0,-1.0,-1.0,-1.0,5.75,5.5,-1.0,-1.0,-1.0
10000026,4.6,7.0,6.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10000027,7.8,7.75,8.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10000028,3.2,7.75,9.0,-1.0,-1.0,-1.0,5.75,6.75,8.0
10000029,7.4,6.0,3.0,3.25,5.75,3.25,-1.0,-1.0,-1.0
10000030,7.8,8.5,7.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10000031,8.6,5.75,7.0,3.0,9.25,9.5,-1.0,-1.0,-1.0
10000032,5.2,6.75,9.2,-1.0,-1.0,-1.0,7.0,6.25,9.0
10000033,7.6,-1.0,-1.0,5.25,7.75,-1.0,-1.0,-1.0,-1.0
10000034,5.2,5.5,5.8,-1.0,-1.0,-1.0,6.0,6.5,7.0
10000035,8.4,8.0,8.4,7.25,6.75,3.75,-1.0,-1.0,-1.0
10000036,8.8,7.75,7.2,7.5,6.5,4.75,-1.0,-1.0,-1.0
10000037,8.2,8.25,9.0,-1.0,-1.0,-1.0,5.25,7.25,8.25
10000038,8.2,5.25,9.0,8.75,3.25,3.5,-1.0,-1.0,-1.0
10000039,8.2,-1.0,7.8,5.75,3.75,3.25,-1.0,-1.0,-1.0
10000040,7.6,8.75,7.6,-1.0,-1.0,-1.0,5.5,5.5,8.25
10000041,6.8,7.25,8.6,-1.0,-1.0,-1.0,5.75,5.25,7.5
10000042,8.2,7.5,7.4,5.0,7.5,5.25,-1.0,-1.0,-1.0
10000043,9.0,8.25,6.2,7.0,6.75,4.5,-1.0,-1.0,-1.0
10000044,5.6,4.0,-1.0,-1.0,-1.0,-1.0,5.5,7.25,-1.0
10000045,7.2,7.75,9.4,-1.0,-1.0,-1.0,3.75,4.75,7.0
10000046,2.8,2.5,-1.0,-1.0,-1.0,-1.0,5.25,4.0,-1.0
10000047,8.8,8.25,4.0,-1.0,-1.0,-1.0,9.25,8.5,9.0
10000048,7.8,7.75,9.6,-1.0,-1.0,-1.0,5.5,5.75,7.75
10000049,5.8,6.25,6.8,-1.0,-1.0,-1.0,8.0,6.25,8.25
10000050,7.8,6.75,9.8,9.0,4.5,6.0,-1.0,-1.0,-1.0
10000051,8.2,4.5,9.6,7.25,4.75,4.75,-1.0,-1.0,-1.0
10000052,9.0,6.5,8.8,8.75,5.25,5.25,-1.0,-1.0,-1.0
10000053,2.8,-1.0,5.6,3.25,-1.0,-1.0,-1.0,-1.0,-1.0
10000054,7.0,8.25,8.8,-1.0,-1.0,-1.0,7.25,7.25,8.5
10000055,7.8,7.5,8.2,8.25,8.0,6.5,-1.0,-1.0,-1.0
10000056,8.2,8.5,9.6,-1.0,-1.0,-1.0,8.0,6.75,8.75
10000057,6.4,8.0,9.0,-1.0,-1.0,-1.0,8.0,6.25,8.5
10000058,8.2,8.25,9.4,-1.0,-1.0,-1.0,7.75,8.0,9.25
10000059,8.4,8.5,8.6,9.5,6.75,4.0,-1.0,-1.0,-1.0
10000060,4.8,3.75,2.4,-1.0,-1.0,-1.0,3.75,5.5,5.0
10000061,2.6,4.5,-1.0,-1.0,-1.0,-1.0,4.5,5.5,-1.0
10000062,5.4,7.5,7.2,-1.0,-1.0,-1.0,8.25,7.5,8.5
10000063,2.2,2.5,-1.0,-1.0,-1.0,-1.0,4.75,7.0,-1.0
10000064,7.6,8.5,8.6,-1.0,-1.0,-1.0,7.0,7.25,8.75
10000065,1.8,2.5,-1.0,-1.0,-1.0,-1.0,2.75,4.5,-1.0
10000066,5.2,5.75,-1.0,-1.0,-1.0,-1.0,6.5,5.75,-1.0
10000067,5.0,4.0,-1.0,-1.0,-1.0,-1.0,3.75,7.25,-1.0
10000068,8.0,8.25,9.8,-1.0,-1.0,-1.0,7.75,7.75,9.0
10000069,7.6,8.5,8.8,-1.0,-1.0,-1.0,8.75,8.25,9.0
10000070,7.8,8.5,8.6,-1.0,-1.0,-1.0,6.25,6.0,7.75
10000071,6.0,8.0,6.0,-1.0,-1.0,-1.0,10.0,9.25,8.25
10000072,8.4,5.0,5.8,6.5,4.25,-1.0,-1.0,-1.0,-1.0
10000073,7.8,-1.0,-1.0,6.75,8.0,-1.0,-1.0,-1.0,-1.0
10000074,6.6,5.25,6.0,5.0,7.25,5.75,-1.0,-1.0,-1.0
10000075,5.2,3.0,-1.0,-1.0,-1.0,-1.0,5.25,5.25,-1.0
10000076,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,8.5,7.25,-1.0
10000077,9.2,4.0,8.6,9.0,7.75,6.25,-1.0,-1.0,-1.0
10000078,6.0,8.25,9.4,-1.0,-1.0,-1.0,6.5,7.5,9.25
10000079,8.2,9.0,8.6,-1.0,-1.0,-1.0,8.25,7.75,8.5
10000080,4.2,3.75,-1.0,-1.0,-1.0,-1.0,5.25,6.5,-1.0
10000081,-1.0,7.75,-1.0,-1.0,-1.0,-1.0,9.0,9.0,-1.0
10000082,8.2,7.25,6.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10000083,5.4,6.25,-1.0,-1.0,-1.0,-1.0,7.0,5.5,-1.0
10000084,8.6,6.5,7.4,8.25,8.75,4.75,-1.0,-1.0,-1.0
10000085,3.2,4.5,-1.0,-1.0,-1.0,-1.0,5.25,5.5,-1.0
10000086,3.4,2.5,-1.0,-1.0,-1.0,-1.0,3.5,6.25,-1.0
10000087,8.4,6.25,5.8,7.75,8.25,3.0,-1.0,-1.0,-1.0
10000088,3.8,1.75,-1.0,-1.0,-1.0,-1.0,2.75,5.0,-1.0
10000089,8.6,6.5,9.0,6.75,9.25,6.75,-1.0,-1.0,-1.0
10000090,9.0,7.25,6.2,9.0,8.75,4.0,-1.0,-1.0,-1.0
10000091,7.0,7.0,7.6,5.75,8.5,7.5,-1.0,-1.0,-1.0
10000092,8.0,-1.0,7.0,7.0,2.5,2.5,-1.0,-1.0,-1.0
10000093,1.8,4.25,-1.0,-1.0,-1.0,-1.0,2.25,4.75,-1.0
10000094,8.4,7.25,9.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10000095,9.0,6.75,8.2,9.25,9.0,8.5,-1.0,-1.0,-1.0
10000096,4.0,3.5,-1.0,-1.0,-1.0,-1.0,4.25,5.75,-1.0
10000097,8.6,-1.0,6.0,8.25,-1.0,-1.0,-1.0,-1.0,-1.0
10000098,8.6,5.5,6.4,3.75,9.25,8.0,-1.0,-1.0,-1.0
10000099,1.6,4.25,-1.0,-1.0,-1.0,-1.0,3.5,5.75,-1.0
10000100,6.2,4.25,-1.0,-1.0,-1.0,-1.0,7.5,6.25,-1.0
10000101,7.4,-1.0,-1.0,-1.0,7.75,7.25,-1.0,-1.0,-1.0
10000102,8.2,6.75,9.4,9.0,6.5,4.75,-1.0,-1.0,-1.0
10000103,6.8,7.5,9.4,-1.0,-1.0,-1.0,7.75,7.75,8.25
10000104,9.0,4.0,8.4,5.75,9.0,9.0,-1.0,-1.0,-1.0
10000105,8.2,6.25,8.8,8.0,8.5,5.75,-1.0,-1.0,-1.0
10000106,8.4,6.5,8.6,7.75,5.5,5.0,-1.0,-1.0,-1.0
10000108,3.4,4.25,-1.0,-1.0,-1.0,-1.0,3.5,6.75,-1.0
