ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
09000001,7.8,8.25,5.4,7.0,8.75,4.75,-1.0,-1.0,-1.0
09000002,8.0,8.0,7.4,7.5,6.75,7.5,-1.0,-1.0,-1.0
09000003,8.2,7.5,7.8,7.75,7.0,6.75,-1.0,-1.0,-1.0
09000004,7.0,7.75,5.6,-1.0,-1.0,-1.0,9.25,8.5,8.75
09000005,6.6,6.5,4.6,-1.0,-1.0,-1.0,7.25,8.0,9.0
09000006,7.2,7.5,4.0,7.5,7.25,6.0,-1.0,-1.0,-1.0
09000007,8.2,8.0,6.4,-1.0,-1.0,-1.0,8.0,7.75,8.25
09000008,8.6,7.75,4.0,6.75,7.75,6.25,-1.0,-1.0,-1.0
09000009,8.6,7.75,6.6,8.25,7.5,6.5,-1.0,-1.0,-1.0
09000010,6.0,7.0,6.4,-1.0,-1.0,-1.0,7.25,6.5,8.75
09000011,5.2,6.5,4.4,-1.0,-1.0,-1.0,8.5,9.25,8.25
09000012,6.4,8.25,5.8,-1.0,-1.0,-1.0,7.5,7.75,9.75
09000013,8.0,8.25,7.0,-1.0,-1.0,-1.0,9.75,9.5,9.75
09000014,8.4,7.75,5.4,-1.0,-1.0,-1.0,6.0,7.5,8.25
09000015,6.2,7.25,4.4,-1.0,-1.0,-1.0,8.25,6.75,8.25
09000016,7.4,7.25,3.4,-1.0,-1.0,-1.0,8.75,8.0,9.0
09000017,5.2,5.5,4.0,-1.0,-1.0,-1.0,7.0,8.75,8.75
09000018,7.0,8.5,4.6,-1.0,-1.0,-1.0,7.0,7.75,9.25
09000019,8.2,7.0,5.2,6.5,8.5,7.25,-1.0,-1.0,-1.0
09000020,7.8,7.75,5.8,-1.0,-1.0,-1.0,7.5,6.25,8.5
09000021,8.4,7.5,5.4,6.25,7.5,6.25,-1.0,-1.0,-1.0
09000022,7.8,7.25,4.2,-1.0,-1.0,-1.0,9.5,8.25,9.25
09000023,8.0,8.25,4.0,6.75,8.25,7.0,-1.0,-1.0,-1.0
09000024,8.0,8.0,4.0,-1.0,-1.0,-1.0,9.25,8.5,9.5
09000025,7.6,7.0,6.8,7.0,7.75,7.0,-1.0,-1.0,-1.0
09000026,7.6,7.25,4.8,-1.0,-1.0,-1.0,9.0,9.75,9.25
09000027,7.6,6.75,4.6,-1.0,-1.0,-1.0,8.75,8.5,7.75
09000028,7.2,6.5,4.8,8.25,8.25,3.75,-1.0,-1.0,-1.0
09000029,9.0,7.75,6.6,8.5,8.5,5.25,-1.0,-1.0,-1.0
09000030,7.0,5.25,5.8,-1.0,-1.0,-1.0,4.0,7.75,7.75
09000031,6.6,8.75,6.2,-1.0,-1.0,-1.0,9.75,9.25,9.5
09000032,7.6,6.5,5.6,-1.0,-1.0,-1.0,9.25,8.75,9.0
09000033,8.8,8.0,8.6,-1.0,-1.0,-1.0,7.25,8.0,9.25
09000034,7.6,7.5,7.8,-1.0,-1.0,-1.0,7.5,8.75,8.75
09000035,9.2,7.0,7.4,8.0,9.5,8.5,-1.0,-1.0,-1.0
09000036,7.8,8.25,7.4,-1.0,-1.0,-1.0,8.5,8.75,9.25
09000037,8.0,6.0,6.4,6.0,8.0,5.25,-1.0,-1.0,-1.0
09000038,8.4,6.5,3.8,7.0,7.5,7.75,-1.0,-1.0,-1.0
09000039,7.6,6.25,6.8,-1.0,-1.0,-1.0,6.25,8.25,10.0
09000040,6.4,5.75,8.2,-1.0,-1.0,-1.0,9.0,6.5,9.0
09000041,8.0,7.75,6.8,-1.0,-1.0,-1.0,9.25,7.75,9.5
09000042,7.4,7.25,6.2,-1.0,-1.0,-1.0,8.25,8.0,6.75
09000043,6.4,6.25,5.8,-1.0,-1.0,-1.0,6.25,6.0,7.25
09000044,7.0,7.5,6.0,-1.0,-1.0,-1.0,8.25,7.5,8.0
09000045,8.2,8.0,6.2,6.5,6.5,6.0,-1.0,-1.0,-1.0
09000046,8.0,6.5,3.6,6.25,7.25,4.0,-1.0,-1.0,-1.0
09000047,6.6,5.5,6.2,-1.0,-1.0,-1.0,7.75,7.75,8.0
09000048,5.0,6.75,4.0,-1.0,-1.0,-1.0,9.0,8.0,7.75
09000049,7.8,7.75,7.4,8.0,7.0,6.25,-1.0,-1.0,-1.0
09000050,8.6,8.0,6.6,-1.0,-1.0,-1.0,6.25,7.75,8.5
09000051,8.0,6.75,4.0,6.5,8.0,4.25,-1.0,-1.0,-1.0
09000052,6.4,7.5,6.2,-1.0,-1.0,-1.0,8.0,8.25,9.0
