ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
34000001,7.8,6.5,6.2,8.0,7.25,4.0,-1.0,-1.0,-1.0
34000002,6.8,4.75,4.4,4.25,7.25,2.0,-1.0,-1.0,-1.0
34000003,6.6,6.5,4.4,3.25,7.25,4.25,-1.0,-1.0,-1.0
34000004,8.0,5.75,3.6,6.0,8.0,2.75,-1.0,-1.0,-1.0
34000005,3.8,5.75,3.6,-1.0,-1.0,-1.0,5.75,5.25,6.25
34000006,6.6,5.25,2.2,-1.0,-1.0,-1.0,4.25,6.0,8.0
34000007,3.4,5.75,2.6,-1.0,-1.0,-1.0,4.75,7.5,8.0
34000008,3.4,5.0,3.0,-1.0,-1.0,-1.0,8.25,7.75,7.25
34000009,6.2,6.5,5.8,-1.0,-1.0,-1.0,5.75,7.25,8.5
34000010,7.4,5.5,4.2,-1.0,-1.0,-1.0,4.0,6.75,7.75
34000011,7.8,6.0,6.8,-1.0,-1.0,-1.0,6.0,5.5,6.75
34000012,7.2,6.25,3.8,-1.0,-1.0,-1.0,7.0,7.5,7.75
34000013,4.6,5.25,2.8,-1.0,-1.0,-1.0,6.25,7.25,7.25
34000014,6.0,6.0,3.6,-1.0,-1.0,-1.0,7.5,7.0,8.75
34000015,7.0,5.75,3.0,6.0,7.0,2.5,-1.0,-1.0,-1.0
34000016,7.6,6.0,3.8,-1.0,-1.0,-1.0,7.5,7.25,8.75
34000017,9.0,6.5,7.0,8.5,7.0,4.5,-1.0,-1.0,-1.0
34000018,6.4,5.75,5.4,5.75,7.25,5.25,-1.0,-1.0,-1.0
34000019,2.8,5.0,2.8,-1.0,-1.0,-1.0,6.25,3.75,6.0
34000020,8.8,3.75,6.8,7.5,9.25,8.75,-1.0,-1.0,-1.0
34000021,8.4,7.25,7.8,6.25,7.0,5.5,-1.0,-1.0,-1.0
34000022,8.2,7.75,7.6,-1.0,-1.0,-1.0,8.5,9.25,9.0
34000023,6.0,4.0,3.2,4.0,7.25,4.0,-1.0,-1.0,-1.0
34000024,7.2,6.0,3.2,-1.0,-1.0,-1.0,7.25,6.5,7.0
34000025,6.4,7.0,5.4,-1.0,-1.0,-1.0,8.25,7.25,8.25
34000026,8.4,5.25,5.4,7.0,8.25,6.25,-1.0,-1.0,-1.0
34000027,6.6,5.25,3.6,-1.0,-1.0,-1.0,5.5,8.5,7.5
34000028,8.2,6.25,5.2,6.75,8.0,7.5,-1.0,-1.0,-1.0
34000029,7.8,7.0,7.4,4.5,5.25,3.5,-1.0,-1.0,-1.0
34000030,4.6,4.5,5.0,-1.0,-1.0,-1.0,5.25,7.0,8.0
34000031,4.4,4.25,1.6,-1.0,-1.0,-1.0,3.75,5.0,7.0
34000032,5.2,5.0,3.0,-1.0,-1.0,-1.0,5.25,7.25,6.5
34000033,4.8,5.75,2.6,-1.0,-1.0,-1.0,5.75,5.0,6.5
34000034,8.4,7.25,4.4,6.25,8.25,4.75,-1.0,-1.0,-1.0
34000035,3.6,5.25,2.0,-1.0,-1.0,-1.0,5.0,5.75,6.5
34000036,7.0,5.5,5.2,-1.0,-1.0,-1.0,6.0,6.75,7.0
34000037,6.2,5.5,4.4,-1.0,-1.0,-1.0,7.0,6.25,8.0
34000038,4.2,4.5,2.2,-1.0,-1.0,-1.0,4.25,4.75,6.75
34000039,4.8,5.0,3.6,-1.0,-1.0,-1.0,7.25,7.0,7.25
34000040,8.0,6.5,3.6,7.0,7.75,4.25,-1.0,-1.0,-1.0
34000041,7.2,7.0,6.2,5.5,7.0,7.5,-1.0,-1.0,-1.0
34000042,7.8,7.5,4.8,-1.0,-1.0,-1.0,7.25,8.75,7.75
34000043,4.6,6.25,2.0,-1.0,-1.0,-1.0,4.25,4.75,5.25
34000044,6.0,5.25,2.0,-1.0,-1.0,-1.0,5.5,5.0,5.75
34000045,6.6,5.75,4.0,-1.0,-1.0,-1.0,5.0,6.0,6.5
34000046,2.4,3.5,2.2,-1.0,-1.0,-1.0,4.25,4.75,4.25
34000047,6.6,4.25,3.6,-1.0,-1.0,-1.0,6.25,7.0,7.25
34000048,5.6,4.0,2.8,-1.0,-1.0,-1.0,3.75,6.25,4.5
34000049,7.2,4.75,3.4,6.0,6.75,3.0,-1.0,-1.0,-1.0
34000050,7.4,6.5,3.0,6.75,6.25,4.5,-1.0,-1.0,-1.0
34000051,3.6,5.25,3.6,-1.0,-1.0,-1.0,4.25,5.25,7.0
34000052,3.6,6.25,3.0,-1.0,-1.0,-1.0,4.25,4.75,6.25
34000053,4.0,5.75,4.2,-1.0,-1.0,-1.0,4.25,5.25,8.5
34000054,7.4,8.25,8.0,6.5,5.5,7.0,-1.0,-1.0,-1.0
34000055,8.0,8.25,7.6,6.25,9.0,8.5,-1.0,-1.0,-1.0
34000056,9.2,8.0,6.8,8.5,7.0,4.75,-1.0,-1.0,-1.0
34000057,5.4,5.0,2.0,-1.0,-1.0,-1.0,4.5,5.75,7.75
34000058,7.2,5.75,5.0,-1.0,-1.0,-1.0,3.75,5.5,6.75
