ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
50000001,6.2,5.25,4.8,-1.0,-1.0,-1.0,5.5,7.25,7.5
50000002,5.4,6.0,4.0,-1.0,-1.0,-1.0,6.75,5.75,7.25
50000003,7.4,7.0,5.6,5.25,5.75,6.5,-1.0,-1.0,-1.0
50000004,6.4,8.0,5.6,-1.0,-1.0,-1.0,6.5,8.5,9.5
50000005,7.4,7.25,6.6,8.0,5.75,4.5,-1.0,-1.0,-1.0
50000006,7.4,4.75,4.8,7.25,7.75,6.0,-1.0,-1.0,-1.0
50000007,4.8,4.0,4.2,-1.0,-1.0,-1.0,5.5,7.0,7.5
50000008,5.2,6.5,4.2,-1.0,-1.0,-1.0,5.5,6.0,7.75
50000009,7.6,7.0,7.2,7.5,7.5,6.5,-1.0,-1.0,-1.0
50000010,8.8,7.25,8.4,9.25,8.5,8.25,-1.0,-1.0,-1.0
50000011,6.8,6.75,4.8,5.25,3.75,3.5,-1.0,-1.0,-1.0
50000012,5.8,7.75,6.2,-1.0,-1.0,-1.0,7.75,8.25,8.0
50000013,6.2,5.5,2.8,-1.0,-1.0,-1.0,6.25,7.0,8.25
50000014,8.4,8.0,7.6,8.0,8.0,8.5,-1.0,-1.0,-1.0
50000015,7.0,7.75,3.0,-1.0,-1.0,-1.0,7.25,7.25,9.0
50000016,8.2,5.5,4.2,8.0,8.5,5.0,-1.0,-1.0,-1.0
50000017,6.6,6.5,5.4,7.25,7.0,4.5,-1.0,-1.0,-1.0
50000018,6.8,5.5,4.4,-1.0,-1.0,-1.0,5.75,6.5,8.75
50000019,6.6,6.5,5.6,6.0,4.5,4.0,-1.0,-1.0,-1.0
50000020,8.2,7.75,7.6,6.75,7.25,6.75,-1.0,-1.0,-1.0
50000021,7.6,7.25,5.6,6.5,7.5,4.75,-1.0,-1.0,-1.0
50000022,7.4,7.5,4.4,-1.0,-1.0,-1.0,7.0,6.75,8.25
50000023,8.2,8.25,8.0,8.0,6.25,5.25,-1.0,-1.0,-1.0
50000024,4.2,7.5,5.4,-1.0,-1.0,-1.0,7.5,6.75,7.0
50000025,8.0,6.5,4.4,7.0,5.5,4.25,-1.0,-1.0,-1.0
50000026,8.2,8.0,7.2,5.75,8.75,8.75,-1.0,-1.0,-1.0
50000027,4.4,3.5,2.6,-1.0,-1.0,-1.0,5.25,6.0,8.5
50000028,5.4,5.0,3.6,-1.0,-1.0,-1.0,5.25,6.25,7.75
50000029,6.6,6.25,4.6,4.25,5.75,4.0,-1.0,-1.0,-1.0
50000030,5.0,6.75,4.2,5.5,4.5,5.75,-1.0,-1.0,-1.0
50000031,5.8,7.0,4.8,5.25,5.75,5.0,-1.0,-1.0,-1.0
50000032,5.6,5.75,4.6,-1.0,-1.0,-1.0,6.75,7.0,8.75
50000033,5.2,7.0,2.8,6.0,5.75,4.0,-1.0,-1.0,-1.0
50000034,8.2,7.25,7.2,8.75,8.25,5.5,-1.0,-1.0,-1.0
50000035,7.8,5.5,5.0,5.75,5.5,6.25,-1.0,-1.0,-1.0
50000036,6.8,6.75,5.0,5.5,4.0,3.75,-1.0,-1.0,-1.0
50000037,6.8,5.5,4.4,-1.0,-1.0,-1.0,5.75,5.5,8.5
50000038,7.6,6.25,3.8,7.75,7.75,4.25,-1.0,-1.0,-1.0
50000039,8.2,6.25,3.0,-1.0,-1.0,-1.0,8.25,7.0,9.5
50000040,6.8,6.0,4.8,6.25,6.25,4.5,-1.0,-1.0,-1.0
50000041,7.0,7.0,5.4,6.5,6.25,5.75,-1.0,-1.0,-1.0
50000042,7.0,6.75,6.4,6.75,5.75,6.25,-1.0,-1.0,-1.0
50000043,6.0,7.0,3.8,5.25,4.25,4.0,-1.0,-1.0,-1.0
50000044,7.4,4.75,4.0,-1.0,-1.0,-1.0,6.75,8.0,7.5
50000045,3.6,3.25,2.2,-1.0,-1.0,-1.0,5.5,7.0,7.5
50000046,5.0,4.75,2.4,-1.0,-1.0,-1.0,5.0,5.25,6.0
50000047,6.6,6.5,4.6,3.0,4.5,4.5,-1.0,-1.0,-1.0
50000048,7.8,7.0,5.4,-1.0,-1.0,-1.0,6.75,7.0,9.0
50000049,4.8,4.5,3.2,-1.0,-1.0,-1.0,4.25,5.75,6.5
50000050,4.0,5.25,3.0,-1.0,-1.0,-1.0,5.0,5.25,7.5
50000051,5.2,6.0,3.8,-1.0,-1.0,-1.0,6.75,5.5,7.75
50000052,9.0,9.25,8.2,9.25,8.5,7.25,-1.0,-1.0,-1.0
50000053,8.0,7.25,5.4,-1.0,-1.0,-1.0,8.0,9.0,8.75
50000054,7.2,7.5,2.8,-1.0,-1.0,-1.0,6.25,7.0,8.0
50000055,4.2,4.75,3.8,-1.0,-1.0,-1.0,5.25,5.0,7.25
50000056,4.4,6.75,4.2,-1.0,-1.0,-1.0,6.0,7.0,9.0
50000057,6.8,5.75,3.6,6.75,5.5,4.75,-1.0,-1.0,-1.0
50000058,6.4,7.75,4.0,5.25,4.25,4.5,-1.0,-1.0,-1.0
50000059,7.2,7.5,4.2,6.5,6.25,6.75,-1.0,-1.0,-1.0
50000060,5.2,6.0,4.0,-1.0,-1.0,-1.0,6.75,7.0,8.0
50000061,5.4,7.0,4.8,7.0,7.75,4.75,-1.0,-1.0,-1.0
50000062,7.0,5.25,3.8,-1.0,-1.0,-1.0,5.0,6.75,8.75
50000063,7.6,5.5,5.2,6.0,5.25,6.0,-1.0,-1.0,-1.0
50000064,7.2,6.5,4.6,-1.0,-1.0,-1.0,9.0,8.0,8.25
50000065,6.4,4.25,3.6,-1.0,-1.0,-1.0,6.25,6.5,7.25
50000066,6.4,6.0,3.4,-1.0,-1.0,-1.0,4.25,7.25,9.25
50000067,8.0,8.0,4.4,-1.0,-1.0,-1.0,7.75,6.5,8.5
50000068,8.0,6.5,6.2,6.75,8.0,6.75,-1.0,-1.0,-1.0
50000069,7.0,7.75,6.2,-1.0,-1.0,-1.0,8.75,9.0,8.5
50000070,7.0,6.75,7.0,6.5,6.5,3.75,-1.0,-1.0,-1.0
50000071,8.8,7.5,6.0,6.25,7.5,4.75,-1.0,-1.0,-1.0
50000072,8.2,7.0,8.0,-1.0,-1.0,-1.0,7.5,8.25,9.5
50000073,8.2,7.25,4.8,6.5,7.25,4.75,-1.0,-1.0,-1.0
50000074,5.0,5.5,3.2,-1.0,-1.0,-1.0,5.25,6.5,7.75
50000075,7.4,5.75,4.6,-1.0,-1.0,-1.0,7.5,6.5,7.5
50000076,7.4,7.5,4.6,6.75,6.75,4.5,-1.0,-1.0,-1.0
50000077,6.8,7.0,4.2,-1.0,-1.0,-1.0,6.5,7.5,7.75
50000078,7.2,6.5,4.0,7.25,6.75,5.5,-1.0,-1.0,-1.0
50000079,8.0,8.0,7.0,7.5,6.75,5.75,-1.0,-1.0,-1.0
50000080,7.6,7.5,5.2,-1.0,-1.0,-1.0,6.5,8.75,8.5
50000081,7.4,8.0,4.6,8.0,6.25,3.5,-1.0,-1.0,-1.0
50000082,7.0,7.5,5.0,-1.0,-1.0,-1.0,6.0,7.0,8.75
50000083,5.8,5.0,3.4,-1.0,-1.0,-1.0,7.5,6.5,7.5
50000084,7.8,7.0,6.8,8.75,8.75,6.0,-1.0,-1.0,-1.0
50000085,7.4,6.5,5.4,-1.0,-1.0,-1.0,8.0,8.5,9.5
