ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
37000001,7.2,8.0,9.0,-1.0,-1.0,-1.0,7.5,6.75,8.5
37000002,7.8,5.5,5.4,6.5,7.25,4.75,-1.0,-1.0,-1.0
37000004,8.4,8.0,9.6,7.25,8.5,8.25,-1.0,-1.0,-1.0
37000005,9.0,6.5,9.0,8.75,9.25,8.75,-1.0,-1.0,-1.0
37000006,8.0,6.75,10.0,6.75,5.5,5.25,-1.0,-1.0,-1.0
37000007,8.4,5.75,7.6,7.5,4.75,4.5,-1.0,-1.0,-1.0
37000008,3.6,-1.0,-1.0,3.75,2.25,-1.0,-1.0,-1.0,-1.0
37000009,8.0,7.75,10.0,-1.0,-1.0,-1.0,8.5,6.25,9.0
37000010,7.8,6.0,8.2,8.5,8.25,5.0,-1.0,-1.0,-1.0
37000011,7.2,7.25,9.4,7.0,5.75,3.25,-1.0,-1.0,-1.0
37000012,8.4,6.0,7.8,5.25,9.25,8.25,-1.0,-1.0,-1.0
37000013,8.4,-1.0,9.6,8.5,6.25,3.25,-1.0,-1.0,-1.0
37000014,8.8,7.25,9.0,8.25,9.0,7.5,-1.0,-1.0,-1.0
37000015,9.0,4.0,8.4,6.25,8.5,8.5,-1.0,-1.0,-1.0
37000016,8.8,6.25,9.4,7.5,5.0,4.0,-1.0,-1.0,-1.0
37000017,7.6,8.25,7.8,-1.0,-1.0,-1.0,7.0,-1.0,-1.0
37000018,3.4,5.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0
37000019,6.4,6.5,9.2,7.5,6.75,4.75,-1.0,-1.0,-1.0
37000020,8.6,6.75,9.6,6.75,8.25,3.5,-1.0,-1.0,-1.0
37000021,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,10.0,9.5,-1.0
37000022,7.8,7.75,9.6,3.25,8.75,4.75,-1.0,-1.0,-1.0
37000023,7.4,6.0,8.6,7.0,7.25,4.75,-1.0,-1.0,-1.0
37000024,8.2,6.0,8.4,6.5,9.0,8.0,-1.0,-1.0,-1.0
37000025,7.6,5.5,6.0,6.0,6.5,6.0,-1.0,-1.0,-1.0
37000026,7.8,-1.0,-1.0,7.5,8.25,2.5,-1.0,-1.0,-1.0
37000027,7.8,7.5,8.8,-1.0,-1.0,-1.0,8.5,7.75,9.25
37000028,9.0,-1.0,-1.0,8.5,8.75,-1.0,-1.0,-1.0,-1.0
37000029,8.4,6.25,7.4,8.0,7.75,5.75,-1.0,-1.0,-1.0
37000030,8.8,5.5,9.8,8.25,8.5,3.0,-1.0,-1.0,-1.0
37000031,7.6,-1.0,-1.0,7.25,6.25,-1.0,-1.0,-1.0,-1.0
37000032,6.8,5.75,4.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
37000033,8.2,5.75,8.4,7.75,6.25,5.0,-1.0,-1.0,-1.0
37000034,-1.0,6.25,-1.0,-1.0,-1.0,-1.0,9.25,6.5,-1.0
37000036,9.0,8.0,8.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
37000037,8.4,5.5,7.0,7.5,8.5,4.25,-1.0,-1.0,-1.0
37000038,7.6,6.0,9.4,8.0,7.25,4.0,-1.0,-1.0,-1.0
37000039,8.8,5.5,7.0,3.25,8.75,8.0,-1.0,-1.0,-1.0
37000040,8.6,3.75,9.4,7.0,5.5,5.25,-1.0,-1.0,-1.0
37000041,7.8,7.25,6.6,8.25,8.0,6.5,-1.0,-1.0,-1.0
37000042,9.0,5.5,10.0,5.75,6.25,4.25,-1.0,-1.0,-1.0
37000043,5.8,7.75,9.6,-1.0,-1.0,-1.0,6.25,6.5,8.0
37000044,7.8,8.25,10.0,8.5,6.0,4.75,-1.0,-1.0,-1.0
37000045,8.4,8.5,8.4,-1.0,-1.0,-1.0,6.75,6.5,8.5
37000046,9.4,7.25,9.6,7.75,8.5,8.25,-1.0,-1.0,-1.0
37000047,8.4,3.75,9.6,7.25,9.0,8.25,-1.0,-1.0,-1.0
37000048,8.6,-1.0,-1.0,7.75,8.75,3.75,-1.0,-1.0,-1.0
37000049,8.6,7.5,8.6,8.25,4.25,5.5,-1.0,-1.0,-1.0
37000050,9.2,6.25,9.0,7.75,8.0,7.25,-1.0,-1.0,-1.0
37000052,7.2,-1.0,5.2,7.25,-1.0,-1.0,-1.0,-1.0,-1.0
37000053,8.0,-1.0,-1.0,7.75,7.5,-1.0,-1.0,-1.0,-1.0
37000054,9.2,4.5,7.0,3.25,8.0,6.75,-1.0,-1.0,-1.0
37000055,8.4,6.75,8.4,7.75,8.5,4.25,-1.0,-1.0,-1.0
37000056,8.4,6.25,8.4,7.75,8.25,4.75,-1.0,-1.0,-1.0
37000057,8.6,-1.0,-1.0,7.25,8.0,-1.0,-1.0,-1.0,-1.0
37000058,-1.0,4.75,-1.0,-1.0,-1.0,-1.0,5.5,7.25,-1.0
37000059,6.0,7.25,9.2,-1.0,-1.0,-1.0,9.0,8.25,8.5
37000060,-1.0,1.5,-1.0,-1.0,-1.0,-1.0,3.5,5.75,-1.0
37000061,8.2,7.5,6.0,5.75,8.0,8.25,-1.0,-1.0,-1.0
37000062,8.8,-1.0,-1.0,8.25,8.5,5.25,-1.0,-1.0,-1.0
37000063,7.6,-1.0,7.0,6.25,-1.0,-1.0,-1.0,-1.0,-1.0
37000064,9.0,-1.0,-1.0,8.25,8.25,4.5,-1.0,-1.0,-1.0
37000065,6.8,-1.0,6.2,7.5,9.25,4.25,-1.0,-1.0,-1.0
37000066,8.2,6.25,7.0,7.5,6.25,3.75,-1.0,-1.0,-1.0
37000067,8.0,7.5,8.8,-1.0,-1.0,-1.0,10.0,7.0,9.25
37000068,7.8,-1.0,-1.0,5.75,4.5,6.25,-1.0,-1.0,-1.0
37000069,7.4,7.5,7.4,-1.0,-1.0,-1.0,7.75,7.5,8.25
37000070,8.2,5.75,-1.0,6.75,6.25,5.25,-1.0,-1.0,-1.0
37000071,7.6,7.25,8.0,-1.0,-1.0,-1.0,8.25,7.5,8.75
37000072,8.4,8.25,8.4,5.25,4.75,4.5,-1.0,-1.0,-1.0
37000073,8.8,8.0,8.6,-1.0,-1.0,-1.0,9.0,9.25,8.75
37000074,7.6,5.5,-1.0,-1.0,-1.0,-1.0,9.25,-1.0,-1.0
37000075,8.2,-1.0,7.0,6.25,-1.0,-1.0,-1.0,-1.0,-1.0
37000076,8.2,7.75,8.8,7.5,8.0,5.25,-1.0,-1.0,-1.0
37000077,7.8,7.5,7.0,-1.0,-1.0,-1.0,6.75,6.75,7.25
37000078,8.8,5.0,8.0,8.0,7.75,4.5,-1.0,-1.0,-1.0
37000079,8.8,-1.0,-1.0,-1.0,8.0,8.75,-1.0,-1.0,-1.0
37000080,7.8,-1.0,-1.0,-1.0,8.25,7.0,-1.0,-1.0,-1.0
37000081,8.2,8.25,9.2,7.0,7.0,5.25,-1.0,-1.0,-1.0
37000082,8.6,6.0,8.8,7.0,8.75,5.0,-1.0,-1.0,-1.0
37000083,7.8,5.0,8.6,5.25,6.25,6.5,-1.0,-1.0,-1.0
37000084,8.0,8.25,-1.0,4.75,8.25,9.0,-1.0,-1.0,-1.0
37000085,7.2,7.0,8.4,-1.0,-1.0,-1.0,9.0,7.75,9.5
37000086,7.6,6.5,7.8,7.75,6.25,5.0,-1.0,-1.0,-1.0
37000087,9.2,7.25,-1.0,8.25,7.0,6.5,-1.0,-1.0,-1.0
37000088,8.0,6.25,6.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
37000089,8.0,6.75,9.4,9.25,8.5,5.0,-1.0,-1.0,-1.0
37000090,9.4,6.25,9.2,8.75,4.25,4.25,-1.0,-1.0,-1.0
37000091,8.2,6.0,5.8,6.0,8.5,8.75,-1.0,-1.0,-1.0
37000092,8.4,4.25,8.8,8.0,5.25,4.25,-1.0,-1.0,-1.0
37000093,8.6,8.0,8.0,7.75,7.75,3.75,-1.0,-1.0,-1.0
37000094,8.2,4.75,4.8,7.75,7.0,2.75,-1.0,-1.0,-1.0
37000095,8.8,7.0,7.0,8.5,8.5,6.75,-1.0,-1.0,-1.0
37000096,8.6,5.25,6.6,5.25,7.75,6.75,-1.0,-1.0,-1.0
37000097,9.0,-1.0,-1.0,8.75,8.5,4.25,-1.0,-1.0,-1.0
