ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
58000001,8.0,6.5,4.2,5.75,7.0,6.0,-1.0,-1.0,-1.0
58000002,6.6,8.0,8.2,5.75,7.25,4.25,-1.0,-1.0,-1.0
58000003,7.8,7.0,4.8,7.25,6.0,3.75,-1.0,-1.0,-1.0
58000004,6.2,6.25,5.2,-1.0,-1.0,-1.0,5.75,7.5,6.25
58000005,6.0,4.5,5.0,4.75,4.5,4.25,-1.0,-1.0,-1.0
58000006,6.8,5.0,5.8,-1.0,-1.0,-1.0,7.25,6.75,7.25
58000007,5.4,4.5,3.2,-1.0,-1.0,-1.0,7.25,6.75,8.25
58000008,4.8,5.0,3.0,-1.0,-1.0,-1.0,6.25,7.0,7.5
58000009,5.4,5.75,3.2,5.75,3.25,4.5,-1.0,-1.0,-1.0
58000010,6.8,7.25,4.8,5.25,4.75,3.75,-1.0,-1.0,-1.0
58000011,7.2,6.25,3.2,3.5,7.0,5.0,-1.0,-1.0,-1.0
58000012,5.6,6.5,5.4,-1.0,-1.0,-1.0,8.5,8.5,9.25
58000013,2.0,4.75,-1.0,-1.0,-1.0,-1.0,5.75,7.75,-1.0
58000014,3.0,5.75,-1.0,-1.0,-1.0,-1.0,7.5,6.25,-1.0
58000015,4.8,7.0,4.0,-1.0,-1.0,-1.0,8.0,7.5,8.0
58000016,5.4,7.5,3.2,-1.0,-1.0,-1.0,9.0,8.0,9.5
58000017,5.8,6.5,6.6,5.25,5.25,5.5,-1.0,-1.0,-1.0
58000018,5.0,7.0,5.4,5.0,5.5,3.75,-1.0,-1.0,-1.0
58000019,5.0,5.5,2.4,4.5,4.25,3.75,-1.0,-1.0,-1.0
58000020,5.6,5.5,4.2,-1.0,-1.0,-1.0,5.75,7.0,8.25
58000021,4.4,5.0,2.8,-1.0,-1.0,-1.0,7.0,5.75,8.5
58000022,5.4,7.25,6.0,-1.0,-1.0,-1.0,6.0,7.25,9.0
58000023,1.6,3.75,-1.0,-1.0,-1.0,-1.0,4.5,6.0,-1.0
58000024,8.2,8.25,8.2,8.25,6.75,8.0,-1.0,-1.0,-1.0
58000025,6.0,6.0,5.2,-1.0,-1.0,-1.0,6.25,6.75,8.75
58000026,5.0,7.0,5.4,-1.0,-1.0,-1.0,8.25,7.5,9.0
58000027,5.4,5.0,3.6,-1.0,-1.0,-1.0,5.75,6.25,7.5
58000028,4.4,6.25,3.2,-1.0,-1.0,-1.0,5.5,6.5,7.25
58000029,6.2,5.5,5.6,-1.0,-1.0,-1.0,6.0,7.75,9.0
58000030,7.0,6.0,6.8,6.75,8.0,8.5,-1.0,-1.0,-1.0
58000031,7.6,5.75,5.8,9.25,8.75,4.5,-1.0,-1.0,-1.0
58000032,6.8,5.75,3.4,5.75,3.5,4.25,-1.0,-1.0,-1.0
58000033,5.4,7.0,4.0,-1.0,-1.0,-1.0,8.5,7.75,9.25
58000034,6.8,5.0,2.6,-1.0,-1.0,-1.0,7.75,6.75,8.5
58000035,6.0,5.75,-1.0,-1.0,-1.0,-1.0,4.75,6.5,-1.0
58000036,8.4,7.75,6.0,6.25,9.5,7.25,-1.0,-1.0,-1.0
