ID,Maths,Literature,Foreign_Language,Physics,Chemistry,Biology,History,Geography,Civic_Education
47000001,7.2,8.5,8.4,-1.0,-1.0,-1.0,7.0,7.75,8.25
47000002,8.6,6.0,8.0,-1.0,-1.0,-1.0,9.0,8.75,8.5
47000003,5.6,6.5,5.0,-1.0,-1.0,-1.0,7.5,8.25,7.75
47000004,8.2,4.75,7.4,7.75,5.0,2.75,-1.0,-1.0,-1.0
47000005,8.4,7.0,6.0,8.0,4.75,5.75,-1.0,-1.0,-1.0
47000006,6.6,6.33,5.4,-1.0,-1.0,-1.0,6.75,6.0,7.5
47000007,7.2,7.0,7.4,4.25,7.5,5.75,-1.0,-1.0,-1.0
47000008,8.0,8.0,-1.0,-1.0,-1.0,-1.0,9.0,8.0,9.0
47000009,8.8,5.75,2.8,6.5,5.5,3.5,-1.0,-1.0,-1.0
47000010,8.0,8.25,9.4,4.75,6.5,6.25,-1.0,-1.0,-1.0
47000011,5.2,6.0,5.0,-1.0,-1.0,-1.0,6.5,7.5,7.5
47000012,6.4,6.5,7.4,-1.0,-1.0,-1.0,6.25,6.75,8.75
47000013,6.8,8.25,9.4,-1.0,-1.0,-1.0,8.75,7.5,8.5
47000014,5.2,5.75,3.8,-1.0,-1.0,-1.0,7.25,7.0,8.5
47000015,8.8,5.5,6.8,7.25,7.25,5.0,-1.0,-1.0,-1.0
47000016,7.2,7.75,8.0,-1.0,-1.0,-1.0,7.0,6.75,8.0
47000017,7.4,8.5,6.0,-1.0,-1.0,-1.0,6.75,7.5,8.25
47000018,7.4,6.5,6.4,-1.0,-1.0,-1.0,6.0,6.5,7.5
47000019,8.2,7.75,5.8,8.0,6.0,5.0,-1.0,-1.0,-1.0
47000020,7.2,7.5,8.0,-1.0,-1.0,-1.0,6.5,7.0,7.5
47000021,5.4,8.25,6.8,-1.0,-1.0,-1.0,7.5,7.75,8.75
47000022,8.0,7.5,8.0,8.5,7.75,3.75,-1.0,-1.0,-1.0
47000023,9.0,8.25,7.2,4.75,7.75,7.25,-1.0,-1.0,-1.0
47000024,8.6,8.75,8.8,-1.0,-1.0,-1.0,7.0,6.75,8.5
47000025,6.2,8.0,8.0,-1.0,-1.0,-1.0,8.75,7.75,8.5
47000026,7.4,7.5,8.4,7.0,7.5,6.0,-1.0,-1.0,-1.0
47000027,8.0,5.75,4.8,4.75,8.5,4.0,-1.0,-1.0,-1.0
47000028,8.4,8.25,6.4,7.25,8.25,4.25,-1.0,-1.0,-1.0
47000029,8.2,6.75,6.6,7.75,8.0,7.75,-1.0,-1.0,-1.0
47000030,6.4,6.5,5.8,6.5,3.75,3.75,-1.0,-1.0,-1.0
47000031,7.0,7.5,7.6,-1.0,-1.0,-1.0,4.75,6.5,6.75
47000032,6.4,6.25,8.2,-1.0,-1.0,-1.0,6.25,7.0,8.0
47000033,7.8,6.5,6.6,7.0,4.0,3.5,-1.0,-1.0,-1.0
47000034,7.0,8.25,7.6,-1.0,-1.0,-1.0,6.25,5.75,7.75
47000035,7.8,7.25,7.6,-1.0,-1.0,-1.0,6.5,7.25,7.25
47000036,8.6,7.25,6.2,7.5,7.5,4.75,-1.0,-1.0,-1.0
47000037,8.2,7.75,9.0,-1.0,-1.0,-1.0,8.0,7.75,9.0
47000038,7.8,7.5,7.0,-1.0,-1.0,-1.0,8.0,7.75,8.0
47000039,7.6,8.25,7.4,-1.0,-1.0,-1.0,7.0,6.25,6.75
47000040,7.2,8.0,6.8,8.25,8.5,7.0,-1.0,-1.0,-1.0
47000041,6.6,6.0,6.0,6.75,5.75,3.0,-1.0,-1.0,-1.0
